Class348_Sub40_Sub15,TextureOpConstantMonochrome
Class348_Sub40_Sub18,TextureOpConstantColour
Class348_Sub40_Sub19,TextureOpHorizontalGradient
Class348_Sub40_Sub4,TextureOpVerticalGradient
Class348_Sub40_Sub22,TextureOpBricks
Class348_Sub40_Sub37,TextureOpBlur
Class348_Sub40_Sub38,TextureOpClamp
Class348_Sub40_Sub16,TextureOpArithmetic
Class348_Sub40_Sub14,TextureOpCurve
Class348_Sub40_Sub7,TextureOpMirror
Class348_Sub40_Sub12,TextureOpGradient
Class348_Sub40_Sub26,TextureOpColourStrip
Class348_Sub40_Sub36,TextureOpDiagonalGradient
Class348_Sub40_Sub20,TextureOpPseudoRandomNoise
Class348_Sub40_Sub11,TextureOpWeave
Class348_Sub40_Sub5,TextureOpVoronoiNoise
Class348_Sub40_Sub2,TextureOpHerringbone
Class348_Sub40_Sub30,TextureOpHslAdjust
Class348_Sub40_Sub17_Sub1,TextureOpTilingSprite
Class348_Sub40_Sub6,TextureOpPolarDistortion
Class348_Sub40_Sub31,TextureOpTiling
Class348_Sub40_Sub27,TextureOpInterpolate
Class348_Sub40_Sub32,TextureOpInvert
Class348_Sub40_Sub33,TextureOpKaleidoscope
Class348_Sub40_Sub13,TextureOpGrayScale
Class348_Sub40_Sub1,TextureOpBrightness
Class348_Sub40_Sub3,TextureOpRangeThreshold
Class348_Sub40_Sub24,TextureOpSquareWaveform
Class348_Sub40_Sub23,TextureOpIrregularBricks
Class348_Sub40_Sub39,TextureOpRasterizer
Class348_Sub40_Sub10,TextureOpRange
Class348_Sub40_Sub25,TextureOpMandelbrot
Class348_Sub40_Sub35,TextureOpEmboss
Class348_Sub40_Sub34,TextureOpNormalMap
Class348_Sub40_Sub8,TextureOpPerlinNoise
Class348_Sub40_Sub9,TextureOpMonochromeEdgeDetector
Class348_Sub40_Sub29,TextureOpTextureSource
Class348_Sub40_Sub21,TextureOpWavyCross
Class348_Sub40_Sub28,TextureOpLineNoise
Class348_Sub40_Sub17,TextureOpSpriteSource
Class348_Sub42_Sub3,ByteArraySecondaryNode
Class308,LRUHashTable
Class356,HashTable
Class348,Node
Class348_Sub42,LinkedNode
Class107,SecondaryLinkedList
IndexedImage,IndexedImage
Class7,AwtFullscreenAdapter
Class323,WorldMapFont
Class279_Sub1,PcmPlayer_Sub1
Class201,FileCache
Class208,ClientStreamWriter
Class75,WorldMap
Class297,SignLink
Applet_Sub1,GameShell
Class274,LocalisedText
Class320,InterfaceList
Class294,AwtLoadingScreen
Class272_Sub2,ProxySocketFactory
Class55,Video
InputStream_Sub1,Whirlpool
Class348_Sub23_Sub4,OggKateStream
Class348_Sub43,MiniMenu
Class139,NPCList
Class31,HitmarkType
Class373_Sub2,MouseHandler
Class373_Sub1,MouseWheelHandler
Class9,HardwareToolkitLoader
Class96,DirectXToolkitFactory
Class144,SignLinkRequest
Class224,JavascriptBridge
Class234,FileOnDisk
Class296,Huffman
Class41,FaceNormal
Class78,BufferedFile
Class77,IsaacCipher
Class102,SimpleTile
Class236,ShapedTile
Class47,Clock
Class47_Sub1,MillisClock
Class47_Sub2,NanoClock
Class272,SocketFactory
Class272_Sub1,DirectSocketFactory
Class214,ArrayUtils
Class202,BufferedSocket
Class346,Keyboard
Class346_Sub1,AwtKeyboard
Class348_Sub11,KeyLogEntry
Class61,GlDisplayListSet
Class376,AsyncInputStream
Class165,CursorManager
Class348_Sub31_Sub1,BufferedImageSurface
Class348_Sub31_Sub2,ImageProducerSurface
Class344,AbstractByteArrayCopier
Class344_Sub1,DirectByteArrayCopier
Class137,ArchiveDisk
Class348_Sub42_Sub16_Sub2,ArchiveDiskAction
Class112,ArchiveDiskActionHandler
Class114,ServerPacket
Class351,ClientPacket
Class348_Sub49_Sub2,PacketBuffer
Class348_Sub47,PacketBufferNode
Class169,PingRequester
Class348_Sub26,PingRequest
Class66,ClientScriptInterpreter
Class64_Sub2,NativeModel
Class64_Sub3,OpenGLModel
Class237,MapRegion
Class237_Sub1,MapRegionBuilder
Class60,SoftLruCache
Class46,Widget
Class62,TimeUtils
Class273,ClientScriptTrigger
Class147,ChatLine
Class51,ObjectType
Class361,CollisionMap
Class348_Sub16,PcmStream
Class348_Sub19,AbstractSound
Class348_Sub19_Sub1,RawSound
Class348_Sub16_Sub5,RawPcmStream
Class348_Sub16_Sub4,PcmStreamMixer
Class348_Sub30,PcmStreamMixerListener
Class348_Sub42_Sub8,ReferenceNode
Class348_Sub42_Sub8_Sub1,SoftReferenceNode
Class348_Sub42_Sub8_Sub2,HardReferenceNode
Class230,ModeGame
Class364,GameBuild
Class74,ZoneUpdateType
Class221,HorizontalAlignment
Class341,VerticalAlignment
Class362,OverlayMessageRenderer
Class367_Sub11,UnderwaterShader
# Class57,DisplayMode  # collides with java.awt.DisplayMode
