kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
method,CacheIndexCrcUtil,CacheIndexCrcUtil,,,,method1244,writeArchiveCrcs,CacheIndexCrcUtil,module,high,approved,
method,CacheIndexCrcUtil,CacheIndexCrcUtil,,,,method1245,normalizeBase37Name,CacheIndexCrcUtil,module,high,approved,
method,CacheIndexCrcUtil,CacheIndexCrcUtil,,,,method1246,clearStaticState,CacheIndexCrcUtil,module,high,approved,
method,ClientCaches,ClientCaches,,,,method296,clearStaticState,ClientCaches,module,high,approved,
method,ClientCaches,ClientCaches,,,,method297,clearLoadingScreenOpCache,ClientCaches,module,high,approved,
method,ClientCaches,ClientCaches,,,,method298,configureSceneAndLoginState,ClientCaches,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2552,getAppearancePartId,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2553,getFullImage,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2554,resetRegionStateOnPlaneChange,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2555,clearStaticState,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2556,updateActorFrame,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2557,get,ColorImageCache,module,high,approved,
method,ColorImageCache,ColorImageCache,,,,method2558,clear,ColorImageCache,module,high,approved,
method,ColorImageCacheSlot,ColorImageCacheSlot,,,,method2991,processClientTick,ColorImageCacheSlot,module,high,approved,
method,ConfigArchive,ConfigArchive,,,,method868,getRotatedOffset,ConfigArchive,module,high,approved,
method,ConfigArchive,ConfigArchive,,,,method869,clearStaticState,ConfigArchive,module,high,approved,
method,FileCache,FileCache,,,,method1464,findOrCreateCacheFile,FileCache,module,high,approved,
method,FileCache,FileCache,,,,method1465,initializeCacheLocation,FileCache,module,high,approved,
method,FileCache,FileCache,,,,method1466,getCacheFile,FileCache,module,high,approved,
method,GroundItemPileCache,GroundItemPileCache,,,,method3458,clearStaticState,GroundItemPileCache,module,high,approved,
method,GroundItemPileCache,GroundItemPileCache,,,,method3459,insertGroundItemSorted,GroundItemPileCache,module,high,approved,
field,HardReferenceCacheEntry,HardReferenceCacheEntry,,,,anObject10440,value,HardReferenceCacheEntry,module,high,approved,
method,HardReferenceCacheEntry,HardReferenceCacheEntry,,,,method3205,getValue,HardReferenceCacheEntry,module,high,approved,
method,HardReferenceCacheEntry,HardReferenceCacheEntry,,,,method3206,isSoftReference,HardReferenceCacheEntry,module,high,approved,
method,HardReferenceCacheEntry,HardReferenceCacheEntry,,,,method3207,clearStaticState,HardReferenceCacheEntry,module,high,approved,
method,HardReferenceCacheEntry,HardReferenceCacheEntry,,,,method3208,applyQueuedAnimationStep,HardReferenceCacheEntry,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1427,getFullImage,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1428,clearUiFontStatics,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1429,pushGameMessage,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1430,drawActorHintIcon,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1431,clearImageCacheStatics,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1432,clear,IntImageCache,module,high,approved,
method,IntImageCache,IntImageCache,,,,method1433,get,IntImageCache,module,high,approved,
field,Js5Archive,Js5Archive,,,,aBoolean655,discardPacked,Js5Archive,module,high,approved,Whether packed group payloads are discarded after unpack
field,Js5Archive,Js5Archive,,,,aClass291_629,index,Js5Archive,module,high,approved,Archive index metadata
field,Js5Archive,Js5Archive,,,,aClass314_659,provider,Js5Archive,module,high,approved,Archive data provider
field,Js5Archive,Js5Archive,,,,anInt634,discardUnpackedMode,Js5Archive,module,high,approved,Unpacked file discard policy (0/1/2)
field,Js5Archive,Js5Archive,,,,anObjectArray656,packedGroups,Js5Archive,module,high,approved,Per-group packed payload cache
field,Js5Archive,Js5Archive,,,,anObjectArrayArray664,unpackedFiles,Js5Archive,module,high,approved,Per-group unpacked file cache
