old,new,phase,confidence,status,notes
Applet_Sub1,GameShell,core,high,approved,Imported from legacy classes map
Callback_Sub1,Win32CursorCallback,core,high,approved,Imported from legacy classes map
Canvas_Sub1,GameCanvas,core,high,approved,Imported from legacy classes map
Class1,DirectSoundAudioOutput,core,high,approved,Imported from legacy classes map
Class10,SoundEffectRequest,core,high,approved,Imported from legacy classes map
Class100,OpenGLWaterEffectManager,core,high,approved,Imported from legacy classes map
Class101,Matrix,core,high,approved,Imported from legacy classes map
Class101_Sub1,SoftwareMatrix,core,high,approved,Imported from legacy classes map
Class101_Sub2,DirectXMatrix,core,high,approved,Imported from legacy classes map
Class101_Sub3,OpenGLMatrix,core,high,approved,Imported from legacy classes map
Class102,SimpleTile,core,high,approved,Imported from legacy classes map
Class103,StructTypeSortUtil,core,high,approved,Imported from legacy classes map
Class104,OpenGLAlphaMaskManager,core,high,approved,Imported from legacy classes map
Class105,Sprite,core,high,approved,Imported from legacy classes map
Class105_Sub1,DirectXSprite,core,high,approved,Imported from legacy classes map
Class105_Sub2,OpenGLSprite,core,high,approved,Imported from legacy classes map
Class105_Sub3,SoftwareSprite,core,high,approved,Imported from legacy classes map
Class105_Sub3_Sub1,SoftwareSprite24,core,high,approved,Imported from legacy classes map
Class105_Sub3_Sub2,SoftwareIndexedSprite,core,high,approved,Imported from legacy classes map
Class105_Sub3_Sub3,SoftwareSprite32,core,high,approved,Imported from legacy classes map
Class106,LoadingScreenElementFactory,core,high,approved,Imported from legacy classes map
Class107,SecondaryNodeList,core,high,approved,Imported from legacy classes map
Class108,GraphicsObjectUpdater,core,high,approved,Imported from legacy classes map
Class109,SoftwareTriangleRasterizer,core,high,approved,Imported from legacy classes map
Class11,PlayerTintUtil,core,high,approved,Imported from legacy classes map
Class110,WorldListEntryBase,core,high,approved,Imported from legacy classes map
Class110_Sub1,WorldListEntry,core,high,approved,Imported from legacy classes map
Class111,LoadingScreenTypeList,core,high,approved,Imported from legacy classes map
Class112,ArchiveDiskActionHandler,core,high,approved,Imported from legacy classes map
Class113,ClientScriptResources,core,high,approved,Imported from legacy classes map
Class114,ServerPacket,core,high,approved,Imported from legacy classes map
Class115,HintIconGlobals,core,high,approved,Imported from legacy classes map
Class116,ClientParameterGlobals,core,high,approved,Imported from legacy classes map
Class117,EnumType,core,high,approved,Imported from legacy classes map
Class118,ModelBillboard,core,high,approved,Imported from legacy classes map
Class119,GlNativeHeapBuffer,core,high,approved,Imported from legacy classes map
Class119_Sub1,GlNativeHeapBufferHandle,core,high,approved,Imported from legacy classes map
Class119_Sub2,NativeIndexBuffer,core,high,approved,Imported from legacy classes map
Class12,TextureConfig,core,high,approved,Imported from legacy classes map
Class120,LoadingScreenFullscreenSpriteLayout,core,high,approved,Imported from legacy classes map
Class121,ToolkitMatrixInitializer,core,high,approved,Imported from legacy classes map
Class122,Cp1252Util,core,high,approved,Imported from legacy classes map
Class123,GlVertexAttribute,core,high,approved,Imported from legacy classes map
Class124,ModelData,core,high,approved,Imported from legacy classes map
Class125,TooltipLayout,core,high,approved,Imported from legacy classes map
Class126,ParticleSystemKey,core,high,approved,Imported from legacy classes map
Class127,LoadingScreenSpriteOp,core,high,approved,Imported from legacy classes map
Class127_Sub1,LoadingScreenRotatingSpriteOp,core,high,approved,Imported from legacy classes map
Class128,GameStateReset,core,high,approved,Imported from legacy classes map
Class129,ModelParticleEmitter,core,high,approved,Imported from legacy classes map
Class13,Js5ResourceProviders,core,high,approved,Imported from legacy classes map
Class130,ClientGlobals,core,high,approved,Imported from legacy classes map
Class130_Sub1,ClientDebugCounters,core,high,approved,Imported from legacy classes map
Class131,ChatTagChars,core,high,approved,Imported from legacy classes map
Class132,LoginManager,core,high,approved,Imported from legacy classes map
Class133,PlayerUpdateDecoder,core,high,approved,Imported from legacy classes map
Class134,DirectDrawDisplayModeManager,core,high,approved,Imported from legacy classes map
Class135,OpenGLArbBufferObject,core,high,approved,Imported from legacy classes map
Class135_Sub1,OpenGLArrayBuffer,core,high,approved,Imported from legacy classes map
Class135_Sub2,OpenGLElementArrayBuffer,core,high,approved,Imported from legacy classes map
Class136,IndexGroupLoader,core,high,approved,Imported from legacy classes map
Class137,ArchiveDisk,core,high,approved,Imported from legacy classes map
Class138,ScriptVarType,core,high,approved,Imported from legacy classes map
Class139,NPCList,core,high,approved,Imported from legacy classes map
Class14,OpenGLxTexture,core,high,approved,Imported from legacy classes map
Class140,CanvasLetterboxPainter,core,high,approved,Imported from legacy classes map
Class141,MapSceneTypeList,core,high,approved,Imported from legacy classes map
Class142,DirectXIndexBuffer,core,high,approved,Imported from legacy classes map
Class143,GameFontMetrics,core,high,approved,Imported from legacy classes map
Class144,SignLinkRequest,core,high,approved,Imported from legacy classes map
Class145,GroundTileModel,core,high,approved,Imported from legacy classes map
Class146,VarBitType,core,high,approved,Imported from legacy classes map
Class147,ChatLine,core,high,approved,Imported from legacy classes map
Class148,SceneEntityNode,core,high,approved,Imported from legacy classes map
Class149,CoordRotation,core,high,approved,Imported from legacy classes map
Class14_Sub1,OpenGLxTexture2D,core,high,approved,Imported from legacy classes map
Class14_Sub2,OpenGLxCubeMapTexture,core,high,approved,Imported from legacy classes map
