kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
local,*,*,,,,bool_0_,flag0,*,module,high,approved,
local,*,*,,,,bool_10_,flag10,*,module,high,approved,
local,*,*,,,,bool_11_,flag11,*,module,high,approved,
local,*,*,,,,bool_12_,flag12,*,module,high,approved,
local,*,*,,,,bool_13_,flag13,*,module,high,approved,
local,*,*,,,,bool_14_,flag14,*,module,high,approved,
local,*,*,,,,bool_176_,flag176,*,module,high,approved,
local,*,*,,,,bool_17_,flag17,*,module,high,approved,
local,*,*,,,,bool_18_,flag18,*,module,high,approved,
local,*,*,,,,bool_1_,flag1,*,module,high,approved,
local,*,*,,,,bool_20_,flag20,*,module,high,approved,
local,*,*,,,,bool_24_,flag24,*,module,high,approved,
local,*,*,,,,bool_25_,flag25,*,module,high,approved,
local,*,*,,,,bool_28_,flag28,*,module,high,approved,
local,*,*,,,,bool_2_,flag2,*,module,high,approved,
local,*,*,,,,bool_3_,flag3,*,module,high,approved,
local,*,*,,,,bool_40_,flag40,*,module,high,approved,
local,*,*,,,,bool_45_,flag45,*,module,high,approved,
local,*,*,,,,bool_48_,flag48,*,module,high,approved,
local,*,*,,,,bool_4_,flag4,*,module,high,approved,
local,*,*,,,,bool_51_,flag51,*,module,high,approved,
local,*,*,,,,bool_54_,flag54,*,module,high,approved,
local,*,*,,,,bool_5_,flag5,*,module,high,approved,
local,*,*,,,,bool_6_,flag6,*,module,high,approved,
local,*,*,,,,bool_75_,flag75,*,module,high,approved,
local,*,*,,,,bool_7_,flag7,*,module,high,approved,
local,*,*,,,,bool_8_,flag8,*,module,high,approved,
local,*,*,,,,bool_9_,flag9,*,module,high,approved,
local,*,*,,,,class101_16_,matrixVar16,*,module,high,approved,
local,*,*,,,,class101_49_,matrixVar49,*,module,high,approved,
local,*,*,,,,class101_52_,matrixVar52,*,module,high,approved,
local,*,*,,,,class104,openGLAlphaMaskManagerVar,*,module,high,approved,
local,*,*,,,,class105_328_,spriteVar328,*,module,high,approved,
local,*,*,,,,class105_332_,spriteVar332,*,module,high,approved,
local,*,*,,,,class105_363_,spriteVar363,*,module,high,approved,
local,*,*,,,,class105_364_,spriteVar364,*,module,high,approved,
local,*,*,,,,class105_365_,spriteVar365,*,module,high,approved,
local,*,*,,,,class105_375_,spriteVar375,*,module,high,approved,
local,*,*,,,,class105_377_,spriteVar377,*,module,high,approved,
local,*,*,,,,class105_379_,spriteVar379,*,module,high,approved,
local,*,*,,,,class105_381_,spriteVar381,*,module,high,approved,
local,*,*,,,,class105_9_,spriteVar9,*,module,high,approved,
local,*,*,,,,class106,loadingScreenElementFactoryVar,*,module,high,approved,
local,*,*,,,,class107,secondaryLinkedListVar,*,module,high,approved,
local,*,*,,,,class112,archiveDiskActionHandlerVar,*,module,high,approved,
local,*,*,,,,class113,clientScriptResourcesVar,*,module,high,approved,
local,*,*,,,,class114s,serverPacketVars,*,module,high,approved,
local,*,*,,,,class120,loadingScreenFullscreenSpriteLayoutVar,*,module,high,approved,
local,*,*,,,,class123,glVertexAttributeVar,*,module,high,approved,
local,*,*,,,,class123_279_,glVertexAttributeVar279,*,module,high,approved,
local,*,*,,,,class123_280_,glVertexAttributeVar280,*,module,high,approved,
local,*,*,,,,class123_281_,glVertexAttributeVar281,*,module,high,approved,
local,*,*,,,,class124_101_,modelDataVar101,*,module,high,approved,
local,*,*,,,,class124_16_,modelDataVar16,*,module,high,approved,
local,*,*,,,,class124_17_,modelDataVar17,*,module,high,approved,
local,*,*,,,,class124_225_,modelDataVar225,*,module,high,approved,
local,*,*,,,,class124_228_,modelDataVar228,*,module,high,approved,
local,*,*,,,,class124_240_,modelDataVar240,*,module,high,approved,
local,*,*,,,,class124_2_,modelDataVar2,*,module,high,approved,
local,*,*,,,,class124s,modelDataVars,*,module,high,approved,
