kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
method,BASType,BASType,,,,method1618,buildAttachmentMatrices,BASType,module,high,approved,
method,BASType,BASType,,,,method1619,clearStaticState,BASType,module,high,approved,
method,BASType,BASType,,,,method1620,decode,BASType,module,high,approved,
method,BASType,BASType,,,,method1621,getRandomAnimationId,BASType,module,high,approved,
method,BASType,BASType,,,,method1622,decodeOpcode,BASType,module,high,approved,
method,BASType,BASType,,,,method1623,hasAnimationId,BASType,module,high,approved,
field,BASTypeList,BASTypeList,,,,aClass45_3319,configArchive,BASTypeList,module,high,approved,Archive containing BASType definitions
field,BASTypeList,BASTypeList,,,,aClass60_3321,typeCache,BASTypeList,module,high,approved,BASType definition cache
method,BASTypeList,BASTypeList,,,,method1980,clearStaticState,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1981,replaceChar,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1982,sendChatMessage,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1983,get,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1984,trimCaches,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1985,clearCaches,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1986,removeSoftReferences,BASTypeList,module,high,approved,
method,BASTypeList,BASTypeList,,,,method1987,processContextMenuInput,BASTypeList,module,high,approved,
method,BillboardType,BillboardType,,,,method1418,decodeOpcode,BillboardType,module,high,approved,
method,BillboardType,BillboardType,,,,method1419,decode,BillboardType,module,high,approved,
field,BillboardTypeList,BillboardTypeList,,,,aClass45_4785,archive,BillboardTypeList,module,high,approved,Archive used by load-progress checks
field,BillboardTypeList,BillboardTypeList,,,,aString4778,archiveGroupName,BillboardTypeList,module,high,approved,Archive group name for readiness checks
method,BillboardTypeList,BillboardTypeList,,,,method741,clearStaticState,BillboardTypeList,module,high,approved,
method,BillboardTypeList,BillboardTypeList,,,,method742,get,BillboardTypeList,module,high,approved,
method,BillboardTypeList,BillboardTypeList,,,,method743,queueStateChange,BillboardTypeList,module,high,approved,
method,CursorType,CursorType,,,,method1608,decodeOpcode,CursorType,module,high,approved,
method,CursorType,CursorType,,,,method1609,clearStaticState,CursorType,module,high,approved,
method,CursorType,CursorType,,,,method1610,getSprite,CursorType,module,high,approved,
method,CursorType,CursorType,,,,method1611,decode,CursorType,module,high,approved,
field,CursorTypeList,CursorTypeList,,,,aClass45_2180,spriteArchive,CursorTypeList,module,high,approved,Archive containing cursor sprites
field,CursorTypeList,CursorTypeList,,,,aClass45_2188,definitionArchive,CursorTypeList,module,high,approved,Archive containing cursor definitions [auto-conflict-resolve: CursorTypeList:aClass45_2188 -> definitionArchive]
field,CursorTypeList,CursorTypeList,,,,aClass60_2185,typeCache,CursorTypeList,module,high,approved,CursorType definition cache
field,CursorTypeList,CursorTypeList,,,,aClass60_2190,spriteCache,CursorTypeList,module,high,approved,Cursor sprite cache
method,CursorTypeList,CursorTypeList,,,,method1283,removeSoftReferences,CursorTypeList,module,high,approved,
method,CursorTypeList,CursorTypeList,,,,method1284,clearStaticState,CursorTypeList,module,high,approved,
method,CursorTypeList,CursorTypeList,,,,method1285,trimCaches,CursorTypeList,module,high,approved,
method,CursorTypeList,CursorTypeList,,,,method1286,registerFileByName,CursorTypeList,module,high,approved,
method,CursorTypeList,CursorTypeList,,,,method1287,get,CursorTypeList,module,high,approved,
method,CursorTypeList,CursorTypeList,,,,method1290,clearCaches,CursorTypeList,module,high,approved,
local,EnumType,EnumType,,,,class117,enumTypeDefVar,EnumType,module,high,approved,
local,EnumType,EnumType,,,,class117s,enumTypeDefVars,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1064,clearStaticState,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1065,decodeOpcode,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1066,containsStringValue,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1067,containsIntValue,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1068,buildIntReverseLookup,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1069,decode,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1070,ensureScratchIntArrayCapacity,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1071,buildStringReverseLookup,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1072,setBloomArchive,EnumType,module,high,approved,
method,EnumType,EnumType,,,,method1073,getIntValue,EnumType,module,high,approved,
