kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
field,Base64,Base64,,,,aClass88_1569,particleList,Base64,module,high,approved,
method,Base64,Base64,,,,method877,hasRenderableSceneFlags,Base64,module,high,approved,
method,Base64,Base64,,,,method878,decodeBase64,Base64,module,high,approved,
method,Base64,Base64,,,,method879,clearStaticState,Base64,module,high,approved,
field,Huffman,Huffman,,,,aByteArray3769,codewordLengths,Huffman,module,high,approved,
field,Huffman,Huffman,,,,anIntArray3766,codewords,Huffman,module,high,approved,
field,Huffman,Huffman,,,,anIntArray3774,decodeTree,Huffman,module,high,approved,
method,Huffman,Huffman,,,,method2224,hasFlag2048,Huffman,module,high,approved,
method,Huffman,Huffman,,,,method2225,clearStaticState,Huffman,module,high,approved,
method,Huffman,Huffman,,,,method2226,decompress,Huffman,module,high,approved,
method,Huffman,Huffman,,,,method2227,compress,Huffman,module,high,approved,
method,Huffman,Huffman,,,,method2228,updateMusicFadeAndLoading,Huffman,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anInt1291,accumulator,IsaacCipher,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anInt1292,valuesRemaining,IsaacCipher,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anInt1293,lastResult,IsaacCipher,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anInt1294,counter,IsaacCipher,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anIntArray1289,results,IsaacCipher,module,high,approved,
field,IsaacCipher,IsaacCipher,,,,anIntArray1296,memory,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method776,hasRenderableSceneFlags,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method777,initialize,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method778,peekNextInt,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method779,generateNextBatch,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method780,hasFlag1024,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method781,nextInt,IsaacCipher,module,high,approved,
method,IsaacCipher,IsaacCipher,,,,method782,clearStaticState,IsaacCipher,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aByteArray1465,messageLengthBytes,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aByteArray1475,dataBuffer,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aLongArray1469,roundState,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aLongArray1471,tempState,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aLongArray1472,roundKey,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aLongArray1473,messageBlock,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,aLongArray1474,hashState,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,anInt1463,bitLength,WhirlpoolDigest,module,high,approved,
field,WhirlpoolDigest,WhirlpoolDigest,,,,anInt1468,bufferBytePos,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method827,processBlock,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method828,rebuildOffscreenSurfaces,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method829,reset,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method830,applyRendererPreferenceMode,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method831,clampInt,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method832,updateBits,WhirlpoolDigest,module,high,approved,
method,WhirlpoolDigest,WhirlpoolDigest,,,,method833,doFinal,WhirlpoolDigest,module,high,approved,
