file,old,new,phase,status,notes
net/packets/InboundPacketDispatcher.java,aClass114_9550,legacyServerPacket109,cleanup,approved,Normalize moved packet constant field name
net/packets/InboundPacketDispatcher.java,aClass114_9552,legacyServerPacket72,cleanup,approved,Normalize moved packet constant field name
graphics/gpu/VertexElementType.java,aClass351_9553,legacyClientPacket36,cleanup,approved,Normalize moved packet constant field name
graphics/opengl/OpenGLxTexture3D.java,aClass114_9550,legacyServerPacket109,cleanup,approved,Normalize moved packet constant field name
graphics/opengl/OpenGLxTexture3D.java,aClass114_9552,legacyServerPacket72,cleanup,approved,Normalize moved packet constant field name
game/login/LoginManager.java,aString9554,loginStatusText,cleanup,approved,Normalize moved login status field name
util/text/StringArrayBuilder.java,aString9554,loginStatusText,cleanup,approved,Normalize moved login status field reference
game/vars/VarDomainImpl.java,aString9554,loginStatusText,cleanup,approved,Normalize moved login status field reference
net/packets/InboundPacketDispatcher.java,aClass114_9503,legacyServerPacket9,cleanup,approved,Normalize moved packet constant field name
graphics/opengl/OpenGLxTexture3D.java,aClass114_9503,legacyServerPacket9,cleanup,approved,Normalize moved packet constant field name
collections/value/ByteArraySecondaryNode.java,aClass114_9503,legacyServerPacket9,cleanup,approved,Normalize moved packet constant field name
graphics/opengl/OpenGLGround.java,aShort6911,value,cleanup,approved,Normalize `ShortNode` payload field name in cast access
graphics/native/NativeToolkitGround.java,aShort6911,value,cleanup,approved,Normalize `ShortNode` payload field name in cast access
graphics/directx/DirectXTerrainLight.java,aShort6911,value,cleanup,approved,Normalize `ShortNode` payload field name in cast access
graphics/opengl/OpenGLTerrainLight.java,aShort6911,value,cleanup,approved,Normalize `ShortNode` payload field name in cast access
net/worldlist/WorldListEntryBase.java,aClass262_6978,reflectionCheckQueue,cleanup,approved,Normalize moved reflection-check queue owner field name
graphics/opengl/OpenGLShaderEffect.java,aClass262_6978,reflectionCheckQueue,cleanup,approved,Normalize moved reflection-check queue owner field name
graphics/model/AnimBase.java,aClass262_6978,reflectionCheckQueue,cleanup,approved,Normalize moved reflection-check queue owner field name
world/scene/SceneObjectEntity.java,aClass262_6978,reflectionCheckQueue,cleanup,approved,Normalize moved reflection-check queue owner field name
collections/value/IntNode.java,aClass262_6978,reflectionCheckQueue,cleanup,approved,Normalize moved reflection-check queue owner field name
cache/ColorImageCacheSlot.java,aPlayer_1907,localPlayer,cleanup,approved,Normalize remaining local-player field uses missed by AST renamer
game/entity/Player.java,aPlayer_1907,localPlayer,cleanup,approved,Normalize remaining local-player field uses missed by AST renamer
client/Client.java,aPlayer_1907,localPlayer,cleanup,approved,Normalize remaining local-player field uses missed by AST renamer
world/scene/SceneViewportRenderer.java,aPlayer_1907,localPlayer,cleanup,approved,Normalize remaining local-player field uses missed by AST renamer
graphics/opengl/OpenGLFramebuffer.java,aPlayer_1907,localPlayer,cleanup,approved,Normalize remaining local-player field uses missed by AST renamer
cache/js5/Js5MasterIndex.java,anInt7197,pos,cleanup,approved,Normalize inherited JagBuffer cursor field name
cache/js5/Js5NetQueue.java,anInt7197,pos,cleanup,approved,Normalize inherited JagBuffer cursor field name
net/packets/InboundPacketDispatcher.java,anInt7197,pos,cleanup,approved,Normalize inherited JagBuffer cursor field name
cache/ColorImageCacheSlot.java,anInt7197,pos,cleanup,approved,Normalize inherited JagBuffer cursor field name
script/ClientScriptInterpreter.java,anInt7197,pos,cleanup,approved,Normalize inherited JagBuffer cursor field name
client/refactor/collections/Node.java,method263,getModelFlags,cleanup,approved,Auto fallback from compile log: SeqType.method263->getModelFlags
client/refactor/collections/Node.java,method583,get,cleanup,approved,Auto fallback from compile log: SoftLruCache.method583->get
client/refactor/collections/Node.java,method582,put,cleanup,approved,Auto fallback from compile log: SoftLruCache.method582->put
client/refactor/collections/Node.java,anIntArray237,frameIds,cleanup,approved,Auto fallback from compile log: SeqType.anIntArray237->frameIds
client/refactor/collections/Node.java,method839,getAnimFrames,cleanup,approved,Auto fallback from compile log: SeqTypeList.method839->getAnimFrames
client/refactor/cache/js5/Js5Archive.java,method2365,get,cleanup,approved,Auto fallback from compile log: IntHashTable.method2365->get
client/refactor/cache/js5/Js5Archive.java,aByteArray7154,data,cleanup,approved,Auto fallback from compile log: JagBuffer.aByteArray7154->data
client/refactor/cache/js5/Js5Archive.java,anInt7197,pos,cleanup,approved,Auto fallback from compile log: JagBuffer.anInt7197->pos
client/refactor/cache/js5/Js5Archive.java,method2340,getIndex,cleanup,approved,Auto fallback from compile log: Js5ArchiveProvider.method2340->getIndex
client/refactor/cache/js5/Js5Archive.java,method2338,requestGroup,cleanup,approved,Auto fallback from compile log: Js5ArchiveProvider.method2338->requestGroup
client/refactor/cache/js5/Js5Archive.java,method2339,fetchGroup,cleanup,approved,Auto fallback from compile log: Js5ArchiveProvider.method2339->fetchGroup
client/refactor/cache/js5/Js5Archive.java,method2335,getGroupLoadPercent,cleanup,approved,Auto fallback from compile log: Js5ArchiveProvider.method2335->getGroupLoadPercent
client/refactor/collections/DoublyLinkedNode.java,method590,clear,cleanup,approved,Auto fallback from compile log: SoftLruCache.method590->clear
