kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
field,AlphaMask,AlphaMask,,,,aClass312_9716,worldMapMarkerIterator,AlphaMask,module,high,approved,Reusable iterator over WorldMap marker deque
local,BASType,BASType,,,,class225,basTypeDef,BASType,module,high,approved,
local,BASType,BASType,,,,class225s,basTypeDefs,BASType,module,high,approved,
local,ContextMenuLayout,ContextMenuLayout,,,,class63,contextMenuLayoutVar,ContextMenuLayout,module,high,approved,
local,ContextMenuLayout,ContextMenuLayout,,,,class63s,contextMenuLayoutVars,ContextMenuLayout,module,high,approved,
local,DirectXBaseTexture,DirectXBaseTexture,,,,class310,directXBaseTextureVar,DirectXBaseTexture,module,high,approved,
local,DirectXBaseTexture,DirectXBaseTexture,,,,class310s,directXBaseTextureVars,DirectXBaseTexture,module,high,approved,
local,IDKTypeList,IDKTypeList,,,,class150,idkTypeListVar,IDKTypeList,module,high,approved,
local,IDKTypeList,IDKTypeList,,,,class150s,idkTypeListVars,IDKTypeList,module,high,approved,
local,IndexedSprite,IndexedSprite,,,,class207,indexedSprite,IndexedSprite,module,high,approved,
method,LightType,LightType,,,,method1920,getLower7Bits,LightType,module,high,approved,
method,LightType,LightType,,,,method1921,decode,LightType,module,high,approved,
method,LightType,LightType,,,,method1922,setLoginResponseMessage,LightType,module,high,approved,
method,LightType,LightType,,,,method1923,decodeOpcode,LightType,module,high,approved,
method,LightTypeList,LightTypeList,,,,method1390,removeSoftReferences,LightTypeList,module,high,approved,
method,LightTypeList,LightTypeList,,,,method1391,get,LightTypeList,module,high,approved,
method,LightTypeList,LightTypeList,,,,method1392,trimCaches,LightTypeList,module,high,approved,
method,LightTypeList,LightTypeList,,,,method1393,clearCaches,LightTypeList,module,high,approved,
method,LightTypeList,LightTypeList,,,,method1395,clearStaticState,LightTypeList,module,high,approved,
local,LoginRequestSender,LoginRequestSender,,,,class48,loginRequestSenderVar,LoginRequestSender,module,high,approved,
local,LoginRequestSender,LoginRequestSender,,,,class48s,loginRequestSenderVars,LoginRequestSender,module,high,approved,
local,MapElementType,MapElementType,,,,class42,mapElementTypeDef,MapElementType,module,high,approved,
local,MapElementType,MapElementType,,,,class42s,mapElementTypeDefs,MapElementType,module,high,approved,
local,Model,Model,,,,class64,modelVar,Model,module,high,approved,
local,Model,Model,,,,class64s,modelVars,Model,module,high,approved,
local,ModelBillboard,ModelBillboard,,,,class118,modelBillboardVar,ModelBillboard,module,high,approved,
local,ModelBillboard,ModelBillboard,,,,class118s,modelBillboardVars,ModelBillboard,module,high,approved,
local,ModelBillboardTransform,ModelBillboardTransform,,,,class350,modelBillboardTransformVar,ModelBillboardTransform,module,high,approved,
local,ModelBillboardTransform,ModelBillboardTransform,,,,class350s,modelBillboardTransformVars,ModelBillboardTransform,module,high,approved,
local,ModelData,ModelData,,,,class124,modelData,ModelData,module,high,approved,
local,ModelParticleEmitter,ModelParticleEmitter,,,,class129,modelParticleEmitterVar,ModelParticleEmitter,module,high,approved,
local,ModelParticleEmitter,ModelParticleEmitter,,,,class129s,modelParticleEmitterVars,ModelParticleEmitter,module,high,approved,
local,NpcType,NpcType,,,,class79,npcTypeDefVar,NpcType,module,high,approved,
local,NpcType,NpcType,,,,class79s,npcTypeDefVars,NpcType,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1498,attachCubeMapFace,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1499,clearStaticState,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1500,detachAttachment,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1501,updateQueuedAudioStreams,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1502,attachCubeMapFaceInternal,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1503,setDrawBufferAttachment,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1504,getCurrentFramebufferTarget,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1505,setReadBufferAttachment,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1506,attachTexture2DInternal,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1507,isComplete,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1508,attachRenderbuffer,OpenGLFramebuffer,module,high,approved,
method,OpenGLFramebuffer,OpenGLFramebuffer,,,,method1509,attachTexture2D,OpenGLFramebuffer,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method937,transformPlane,OpenGLMatrix,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method939,setToScaleRotateTranslate,OpenGLMatrix,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method940,toOpenGLMatrixArray,OpenGLMatrix,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method942,negateYZAxes,OpenGLMatrix,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method945,toOpenGLRotationArray,OpenGLMatrix,module,high,approved,
method,OpenGLMatrix,OpenGLMatrix,,,,method946,setFromInverse,OpenGLMatrix,module,high,approved,
local,OpenGLTextureMipmapUtil,OpenGLTextureMipmapUtil,,,,class353,mipmapUtilVar,OpenGLTextureMipmapUtil,module,high,approved,
local,OpenGLTextureMipmapUtil,OpenGLTextureMipmapUtil,,,,class353s,mipmapUtilVars,OpenGLTextureMipmapUtil,module,high,approved,
local,PlatformUtil,PlatformUtil,,,,class334,platformUtilVar,PlatformUtil,module,high,approved,
local,PlatformUtil,PlatformUtil,,,,class334s,platformUtilVars,PlatformUtil,module,high,approved,
local,PlayerModelOverrides,PlayerModelOverrides,,,,class154,playerModelOverridesVar,PlayerModelOverrides,module,high,approved,
local,PlayerModelOverrides,PlayerModelOverrides,,,,class154s,playerModelOverridesVars,PlayerModelOverrides,module,high,approved,
local,SeqType,SeqType,,,,class17,seqType,SeqType,module,high,approved,
local,SkyBoxType,SkyBoxType,,,,class300,skyBoxTypeDefVar,SkyBoxType,module,high,approved,
local,SkyBoxType,SkyBoxType,,,,class300s,skyBoxTypeDefVars,SkyBoxType,module,high,approved,
local,SoftwareModelBillboard,SoftwareModelBillboard,,,,class6,softwareModelBillboardVar,SoftwareModelBillboard,module,high,approved,
local,SoftwareModelBillboard,SoftwareModelBillboard,,,,class6s,softwareModelBillboardVars,SoftwareModelBillboard,module,high,approved,
local,SoftwareTriangleRasterizer,SoftwareTriangleRasterizer,,,,class109,triangleRasterizer,SoftwareTriangleRasterizer,module,high,approved,
local,SoftwareTriangleRasterizer,SoftwareTriangleRasterizer,,,,class109s,triangleRasterizers,SoftwareTriangleRasterizer,module,high,approved,
local,SoftwareVertexNormalAccumulator,SoftwareVertexNormalAccumulator,,,,class360,vertexNormalAccumulatorVar,SoftwareVertexNormalAccumulator,module,high,approved,
local,SoftwareVertexNormalAccumulator,SoftwareVertexNormalAccumulator,,,,class360s,vertexNormalAccumulatorVars,SoftwareVertexNormalAccumulator,module,high,approved,
local,Sprite,Sprite,,,,class105,spriteVar,Sprite,module,high,approved,
local,Sprite,Sprite,,,,class105s,spriteVars,Sprite,module,high,approved,
