kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
field,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,aClass351_4262,widgetOptionUsePacket,AbstractByteArrayCopier,module,high,approved,
field,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,aClass351_4264,widgetOptionExaminePacket,AbstractByteArrayCopier,module,high,approved,
field,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,aClass351_4266,widgetOptionTogglePacket,AbstractByteArrayCopier,module,high,approved,
field,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,anInt4263,oscillationStep,AbstractByteArrayCopier,module,high,approved,
field,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,anInt4265,sampleY,AbstractByteArrayCopier,module,high,approved,
method,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,method2689,copyRange,AbstractByteArrayCopier,module,high,approved,
method,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,method2690,clearStaticState,AbstractByteArrayCopier,module,high,approved,
method,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,method2691,setBytes,AbstractByteArrayCopier,module,high,approved,
method,AbstractByteArrayCopier,AbstractByteArrayCopier,,,,method2692,getBytes,AbstractByteArrayCopier,module,high,approved,
field,ArchiveDisk,ArchiveDisk,,,,aClass78_1933,dataFile,ArchiveDisk,module,high,approved,
field,ArchiveDisk,ArchiveDisk,,,,aClass78_1938,indexFile,ArchiveDisk,module,high,approved,
field,ArchiveDisk,ArchiveDisk,,,,anInt1932,archiveId,ArchiveDisk,module,high,approved,
field,ArchiveDisk,ArchiveDisk,,,,anInt1939,maxEntryLength,ArchiveDisk,module,high,approved,
method,ArchiveDisk,ArchiveDisk,,,,method1160,write,ArchiveDisk,module,high,approved,
method,ArchiveDisk,ArchiveDisk,,,,method1161,read,ArchiveDisk,module,high,approved,
method,ArchiveDisk,ArchiveDisk,,,,method1162,writeInternal,ArchiveDisk,module,high,approved,
method,ArchiveDisk,ArchiveDisk,,,,method1163,hasFlag2048,ArchiveDisk,module,high,approved,
field,ArchiveDiskAction,ArchiveDiskAction,,,,aByteArray10461,data,ArchiveDiskAction,module,high,approved,
field,ArchiveDiskAction,ArchiveDiskAction,,,,aClass137_10458,archiveDisk,ArchiveDiskAction,module,high,approved,
field,ArchiveDiskAction,ArchiveDiskAction,,,,aClass356_10465,actionTable,ArchiveDiskAction,module,high,approved,
field,ArchiveDiskAction,ArchiveDiskAction,,,,anInt10457,actionType,ArchiveDiskAction,module,high,approved,
method,ArchiveDiskAction,ArchiveDiskAction,,,,method3263,isClientPacketFlagSet,ArchiveDiskAction,module,high,approved,
method,ArchiveDiskAction,ArchiveDiskAction,,,,method3264,clearStaticState,ArchiveDiskAction,module,high,approved,
method,ArchiveDiskAction,ArchiveDiskAction,,,,method3265,insertBefore,ArchiveDiskAction,module,high,approved,
field,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,aBoolean1738,shutdownRequested,ArchiveDiskActionHandler,module,high,approved,
field,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,aClass107_1730,requestQueue,ArchiveDiskActionHandler,module,high,approved,
field,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,aThread1733,workerThread,ArchiveDiskActionHandler,module,high,approved,
field,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,anInt1734,pendingRequestCount,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1049,enqueueWrite,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1050,enqueueRequest,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1051,shutdown,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1052,clearStaticState,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1053,getHoveredChatLineId,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1054,enqueueRead,ArchiveDiskActionHandler,module,high,approved,
method,ArchiveDiskActionHandler,ArchiveDiskActionHandler,,,,method1055,readOrGetPendingWrite,ArchiveDiskActionHandler,module,high,approved,
method,AsyncInputStream,AsyncInputStream,,,,method3615,close,AsyncInputStream,module,high,approved,
method,AsyncInputStream,AsyncInputStream,,,,method3617,read,AsyncInputStream,module,high,approved,
method,AsyncInputStream,AsyncInputStream,,,,method3618,shutdownInput,AsyncInputStream,module,high,approved,
method,AsyncInputStream,AsyncInputStream,,,,method3619,isAvailable,AsyncInputStream,module,high,approved,
method,AsyncOperation,AsyncOperation,,,,method3257,getProgressPercent,AsyncOperation,module,high,approved,
method,AsyncOperation,AsyncOperation,,,,method3259,getResultBytes,AsyncOperation,module,high,approved,
field,BZip2Decompressor,BZip2Decompressor,,,,aClass40_2750,sharedState,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1545,readBits,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1546,buildDecodeTables,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1547,decompress,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1548,readByte,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1549,writeRunLengthBlock,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1550,buildUsedByteMap,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1551,clearStaticState,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1552,decompressState,BZip2Decompressor,module,high,approved,
method,BZip2Decompressor,BZip2Decompressor,,,,method1553,readBit,BZip2Decompressor,module,high,approved,
field,BZip2State,BZip2State,,,,aBooleanArray523,inUse,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aBooleanArray532,inUse16,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByte539,currentByte,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray527,outputBuffer,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray528,seqToUnseq,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray531,selectorList,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray534,inputBuffer,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray544,selectorMtf,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArray545,mtfValues,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,aByteArrayArray549,codeLengthsByTable,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt522,inputPos,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt524,totalOutput,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt526,blockSize100k,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt530,origPointer,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt533,runLength,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt536,totalInputBytes,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt537,currentSymbol,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt538,outputRemaining,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt541,symbolCount,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt546,bitCount,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt548,outputPos,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt550,lastIndex,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt552,ttIndex,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt554,bitBuffer,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anInt555,decodedCount,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArray525,minCodeLengthByTable,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArray535,symbolFrequencies,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArray540,mtfBase,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArray543,noiseScratchPixels,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArray557,cumulativeFreqTable,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArrayArray529,permByTable,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArrayArray553,baseByTable,BZip2State,module,high,approved,
field,BZip2State,BZip2State,,,,anIntArrayArray556,limitByTable,BZip2State,module,high,approved,
local,BZip2State,BZip2State,,,,class40,bzip2State,BZip2State,module,high,approved,
local,BZip2State,BZip2State,,,,class40s,bzip2States,BZip2State,module,high,approved,
method,BZip2State,BZip2State,,,,method368,startMusicPlayback,BZip2State,module,high,approved,
method,BZip2State,BZip2State,,,,method369,clearCachedSprites,BZip2State,module,high,approved,
method,BZip2State,BZip2State,,,,method370,clearNoiseScratchPixels,BZip2State,module,high,approved,
method,BZip2State,BZip2State,,,,method371,hasModelRenderFlag,BZip2State,module,high,approved,
field,BufferedFile,BufferedFile,,,,aByteArray1305,writeBuffer,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aByteArray1311,readBuffer,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aClass234_1312,fileOnDisk,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1315,diskPosition,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1317,diskLength,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1319,readBufferStart,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1321,writeBufferStart,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1323,logicalLength,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,aLong1324,position,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,anInt1314,writeBufferLength,BufferedFile,module,high,approved,
field,BufferedFile,BufferedFile,,,,anInt1320,readBufferLength,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method783,write,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method784,readFully,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method785,getFile,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method786,clearStaticState,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method787,length,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method788,read,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method789,seek,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method790,close,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method791,flushWriteBuffer,BufferedFile,module,high,approved,
method,BufferedFile,BufferedFile,,,,method792,refillReadBuffer,BufferedFile,module,high,approved,
method,ClientStreamWriter,ClientStreamWriter,,,,method1525,clearStaticState,ClientStreamWriter,module,high,approved,
method,ClientStreamWriter,ClientStreamWriter,,,,method1526,close,ClientStreamWriter,module,high,approved,
method,ClientStreamWriter,ClientStreamWriter,,,,method1527,shutdownOutput,ClientStreamWriter,module,high,approved,
method,ClientStreamWriter,ClientStreamWriter,,,,method1528,write,ClientStreamWriter,module,high,approved,
field,DirectByteArrayCopier,DirectByteArrayCopier,,,,aByteBuffer6524,directBuffer,DirectByteArrayCopier,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,aClass138_3044,enumScriptVarType,FileOnDisk,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,aFile3046,backingFile,FileOnDisk,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,aLong3037,maxLength,FileOnDisk,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,aLong3039,position,FileOnDisk,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,aRandomAccessFile3036,randomAccessFile,FileOnDisk,module,high,approved,
field,FileOnDisk,FileOnDisk,,,,anInt3047,viewportY,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1656,read,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1657,close,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1658,write,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1659,clearStaticState,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1660,getFile,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1661,seek,FileOnDisk,module,high,approved,
method,FileOnDisk,FileOnDisk,,,,method1662,length,FileOnDisk,module,high,approved,
field,GzipDecompressor,GzipDecompressor,,,,aBooleanArray2076,dirtyWidgetFlags,GzipDecompressor,module,high,approved,
field,GzipDecompressor,GzipDecompressor,,,,aClass243_2077,particleSystems,GzipDecompressor,module,high,approved,
field,GzipDecompressor,GzipDecompressor,,,,aFloatArray2075,uvScratchPair,GzipDecompressor,module,high,approved,
field,GzipDecompressor,GzipDecompressor,,,,anInflater2072,inflater,GzipDecompressor,module,high,approved,
method,GzipDecompressor,GzipDecompressor,,,,method1214,decompress,GzipDecompressor,module,high,approved,
