kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
local,AnimFrame,AnimFrame,,,,class4,animFrameDefVar,AnimFrame,module,high,approved,
local,AnimFrame,AnimFrame,,,,class4s,animFrameDefVars,AnimFrame,module,high,approved,
local,Matrix,Matrix,,,,class101,matrixVar,Matrix,module,high,approved,
local,Matrix,Matrix,,,,class101s,matrixVars,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method890,inverseTransformPointInPlace,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method891,translate,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method892,inverseTransformPoint,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method894,setTranslation,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method895,setToRotationY,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method896,rotateY,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method897,transformPoint,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method898,copyFrom,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method899,setToRotationX,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method900,rotateZ,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method902,setToRotationZ,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method903,setFromEulerAndTranslation,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method905,transformVector,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method907,copy,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method908,rotateX,Matrix,module,high,approved,
method,Matrix,Matrix,,,,method910,setIdentity,Matrix,module,high,approved,
