kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
method,BufferedSocket,BufferedSocket,,,,method1467,available,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1468,replaceWithNoopStreams,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1469,renderOffscreenSurfaces,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1470,write,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1471,clearStaticState,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1472,checkWriteException,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1473,readByte,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1474,readFully,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1475,isTileDrawPermitted,BufferedSocket,module,high,approved,
method,BufferedSocket,BufferedSocket,,,,method1476,close,BufferedSocket,module,high,approved,
method,ClientConnectionKeepAlive,ClientConnectionKeepAlive,,,,method2191,clearStaticState,ClientConnectionKeepAlive,module,high,approved,
method,ClientConnectionKeepAlive,ClientConnectionKeepAlive,,,,method2192,updateSpecialAreaFlag,ClientConnectionKeepAlive,module,high,approved,
method,ClientConnectionKeepAlive,ClientConnectionKeepAlive,,,,method2193,processKeepAlive,ClientConnectionKeepAlive,module,high,approved,
method,ClientConnectionKeepAlive,ClientConnectionKeepAlive,,,,method2194,getChatChannelDisplayWidth,ClientConnectionKeepAlive,module,high,approved,
local,ClientDisplayMode,ClientDisplayMode,,,,class57,clientDisplayModeVar,ClientDisplayMode,module,high,approved,
local,ClientDisplayMode,ClientDisplayMode,,,,class57s,clientDisplayModeVars,ClientDisplayMode,module,high,approved,
field,ClientPacket,ClientPacket,,,,anInt4323,length,ClientPacket,module,high,approved,Client packet payload length
field,ClientPacket,ClientPacket,,,,anInt4326,id,ClientPacket,module,high,approved,Client packet opcode id
method,Connection,Connection,,,,method1700,close,Connection,module,high,approved,
method,Connection,Connection,,,,method1701,read,Connection,module,high,approved,
method,Connection,Connection,,,,method1702,shutdown,Connection,module,high,approved,
method,Connection,Connection,,,,method1703,queueStateChange,Connection,module,high,approved,
method,Connection,Connection,,,,method1704,clearStaticState,Connection,module,high,approved,
method,Connection,Connection,,,,method1705,isAvailable,Connection,module,high,approved,
method,Connection,Connection,,,,method1706,write,Connection,module,high,approved,
method,InboundPacketBuffer,InboundPacketBuffer,,,,method2253,bitLength,InboundPacketBuffer,module,high,approved,
method,InboundPacketBuffer,InboundPacketBuffer,,,,method2254,clearStaticState,InboundPacketBuffer,module,high,approved,
method,InboundPacketBuffer,InboundPacketBuffer,,,,method2255,drawRing,InboundPacketBuffer,module,high,approved,
method,LoginHandshake,LoginHandshake,,,,method840,getPendingNodeCount,LoginHandshake,module,high,approved,
method,LoginHandshake,LoginHandshake,,,,method841,values,LoginHandshake,module,high,approved,
method,LoginHandshake,LoginHandshake,,,,method842,redrawViewportWidgets,LoginHandshake,module,high,approved,
method,LoginHandshake,LoginHandshake,,,,method843,processHandshake,LoginHandshake,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3404,peekEncryptedSmartFlag,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3405,countLoadedResourceFiles,PacketBuffer,module,high,approved,Counts loaded files across required archives for loading-stage progress
method,PacketBuffer,PacketBuffer,,,,method3406,initIsaacCipher,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3407,readEncryptedSmart,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3408,writeOpcode,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3409,readEncryptedBytes,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3413,generatePerlinNoiseGrid,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3414,clearStaticState,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3415,bitsAvailable,PacketBuffer,module,high,approved,
method,PacketBuffer,PacketBuffer,,,,method3416,setIsaacCipher,PacketBuffer,module,high,approved,
method,PacketBufferNode,PacketBufferNode,,,,method3323,clearStaticState,PacketBufferNode,module,high,approved,
method,PacketBufferNode,PacketBufferNode,,,,method3324,updateParticleSystems,PacketBufferNode,module,high,approved,
method,PacketBufferNode,PacketBufferNode,,,,method3325,isTileRenderFlagSet,PacketBufferNode,module,high,approved,
method,PacketBufferNode,PacketBufferNode,,,,method3326,release,PacketBufferNode,module,high,approved,
method,PacketBufferNode,PacketBufferNode,,,,method3327,reconfigureToolkitCanvas,PacketBufferNode,module,high,approved,
method,PacketBufferNodeFactory,PacketBufferNodeFactory,,,,method1477,queueStateChange,PacketBufferNodeFactory,module,high,approved,
method,PacketBufferNodeFactory,PacketBufferNodeFactory,,,,method1478,createPacketBufferNode,PacketBufferNodeFactory,module,high,approved,
method,PacketBufferNodeFactory,PacketBufferNodeFactory,,,,method1479,refreshGroundItemPile,PacketBufferNodeFactory,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3398,renderSceneGraphLayer,PacketWriter,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3399,writeFloatLE,PacketWriter,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3400,writeFloatBE,PacketWriter,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3401,adjustColorBrightness,PacketWriter,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3402,initializeKeyCodeMap,PacketWriter,module,high,approved,
method,PacketWriter,PacketWriter,,,,method3403,clearStaticState,PacketWriter,module,high,approved,
method,PingRequest,PingRequest,,,,method2998,clearStaticState,PingRequest,module,high,approved,
method,PingRequester,PingRequester,,,,method1300,clearStaticState,PingRequester,module,high,approved,
method,PingRequester,PingRequester,,,,method1302,requestPing,PingRequester,module,high,approved,
method,PingRequester,PingRequester,,,,method1303,shutdown,PingRequester,module,high,approved,
method,PingRequester,PingRequester,,,,method1304,enqueue,PingRequester,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1258,hasSceneFlag2048,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1259,rotateConnectionMode,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1260,applySceneEnvironment,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1261,clearStaticState,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1262,openSocketRequest,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1263,applyLowDetailPreferencesPreset,ServerEndpoint,module,high,approved,
method,ServerEndpoint,ServerEndpoint,,,,method1264,matches,ServerEndpoint,module,high,approved,
field,ServerPacket,ServerPacket,,,,anInt1747,id,ServerPacket,module,high,approved,Server packet opcode id
field,ServerPacket,ServerPacket,,,,anInt1749,length,ServerPacket,module,high,approved,Server packet payload length
method,SocketConnection,SocketConnection,,,,method1700,close,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1701,read,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1702,shutdown,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1705,isAvailable,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1706,write,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1707,clearScriptCache,SocketConnection,module,high,approved,
method,SocketConnection,SocketConnection,,,,method1708,updateAmbientSoundAtPosition,SocketConnection,module,high,approved,
method,SocketFactory,SocketFactory,,,,method2047,openDirectSocket,SocketFactory,module,high,approved,
method,SocketFactory,SocketFactory,,,,method2048,clearStaticState,SocketFactory,module,high,approved,
method,SocketFactory,SocketFactory,,,,method2050,openSocket,SocketFactory,module,high,approved,
method,WorldListDecoder,WorldListDecoder,,,,method1384,adjustColorBrightness,WorldListDecoder,module,high,approved,
method,WorldListDecoder,WorldListDecoder,,,,method1385,decodeWorldListPayload,WorldListDecoder,module,high,approved,
method,WorldListDecoder,WorldListDecoder,,,,method1386,clearStaticState,WorldListDecoder,module,high,approved,
method,WorldListDecoder,WorldListDecoder,,,,method1387,refreshPendingSpawnMetadata,WorldListDecoder,module,high,approved,
method,WorldListDecoder,WorldListDecoder,,,,method1388,drawHorizontalSpanAndSides,WorldListDecoder,module,high,approved,
method,WorldListEntry,WorldListEntry,,,,method1038,getRendererUpdateTracker,WorldListEntry,module,high,approved,
method,WorldListEntry,WorldListEntry,,,,method1039,decodePercentEscapes,WorldListEntry,module,high,approved,
method,WorldListEntry,WorldListEntry,,,,method1040,clearStaticState,WorldListEntry,module,high,approved,
method,WorldListEntry,WorldListEntry,,,,method1041,interpolateActorPosition,WorldListEntry,module,high,approved,
method,WorldListEntry,WorldListEntry,,,,method1042,resetSceneSelectionCounters,WorldListEntry,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,countClientPreferenceFields,countSerializedPreferenceFields,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,createCanvasSurface,createBestCanvasSurface,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,decodeReflectionCheck,decodeReflectionCheckPacket,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1029,isMembers,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1030,clearStaticState,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1031,isQuickChat,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1032,countClientPreferenceFields,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1033,isPvp,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1034,decodeReflectionCheck,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1035,createCanvasSurface,WorldListEntryBase,module,high,approved,
method,WorldListEntryBase,WorldListEntryBase,,,,method1036,isLootShare,WorldListEntryBase,module,high,approved,
method,ZoneUpdateDecoder,ZoneUpdateDecoder,,,,method127,clearStaticState,ZoneUpdateDecoder,module,high,approved,
method,ZoneUpdateDecoder,ZoneUpdateDecoder,,,,method128,decodeZoneUpdate,ZoneUpdateDecoder,module,high,approved,
local,ZoneUpdateType,ZoneUpdateType,,,,class74,zoneUpdateTypeVar,ZoneUpdateType,module,high,approved,
local,ZoneUpdateType,ZoneUpdateType,,,,class74s,zoneUpdateTypeVars,ZoneUpdateType,module,high,approved,
method,ZoneUpdateType,ZoneUpdateType,,,,method744,clearStaticState,ZoneUpdateType,module,high,approved,
