kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
field,MachineInfo,MachineInfo,,,,aBoolean6607,hasLimitedPrivileges,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,aBoolean6608,is64BitOs,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6592,cpuCount,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6594,javaVendorType,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6595,osVersionType,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6599,maxMemoryMb,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6605,javaMinorVersion,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6609,physicalMemoryMb,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6612,javaPatchVersion,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6613,osType,MachineInfo,module,high,approved,
field,MachineInfo,MachineInfo,,,,anInt6616,javaMajorVersion,MachineInfo,module,high,approved,
method,MachineInfo,MachineInfo,,,,method2745,truncateStrings,MachineInfo,module,high,approved,
method,MachineInfo,MachineInfo,,,,method2746,getSerializedSize,MachineInfo,module,high,approved,
method,MachineInfo,MachineInfo,,,,method2747,writeToBuffer,MachineInfo,module,high,approved,
method,MachineInfo,MachineInfo,,,,method2748,clearStaticState,MachineInfo,module,high,approved,
method,MachineInfo,MachineInfo,,,,method2749,getNativeHeapSize,MachineInfo,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,aByteArrayArrayArray7128,methodArgumentBytes,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,aClass144Array7127,methodRequests,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,aClass144Array7135,fieldRequests,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,anInt7126,operationCount,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,anInt7130,requestId,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,anIntArray7131,operationStatusCodes,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,anIntArray7132,operationTypes,ReflectionCheck,module,high,approved,
field,ReflectionCheck,ReflectionCheck,,,,anIntArray7136,fieldSetValues,ReflectionCheck,module,high,approved,
method,ReflectionCheck,ReflectionCheck,,,,method3328,setOverlayFontRenderer,ReflectionCheck,module,high,approved,
field,SignLink,SignLink,,,,aBoolean3777,hasFullPrivileges,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aBoolean3794,isMicrosoftJvm,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aBoolean3801,shutdownRequested,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aCallback_Sub1_3776,win32CursorCallback,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aClass134_3802,directDrawDisplayModeManager,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aClass144_3797,requestQueueHead,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aClass144_3798,requestQueueTail,SignLink,module,high,approved,
field,SignLink,SignLink,,,,aClass234Array3795,cacheIndexFiles,SignLink,module,high,approved,
