file,owner_class,old_method,new_method,phase,status,notes
client/Client.java,LoginStateUtil,method3196,isLoginState3To6,cleanup,approved,Normalize renamed login-state predicate call
client/Client.java,LoginStateUtil,method3197,isLoginState7Or9,cleanup,approved,Normalize renamed login-state predicate call
client/Client.java,PacketConstants,method3199,clearLegacyPacketConstants,cleanup,approved,Normalize renamed packet constants clear call
client/ClientDebugCounters.java,LoginStateUtil,method3194,isLegacyFlagSupported,cleanup,approved,Normalize renamed legacy-flag helper call
collections/value/ByteArraySecondaryNode.java,LoginStateUtil,method3196,isLoginState3To6,cleanup,approved,Normalize renamed login-state predicate call
config/FloorUnderlayTypeList.java,LoginStateUtil,method3194,isLegacyFlagSupported,cleanup,approved,Normalize renamed legacy-flag helper call
graphics/native/NativeModel.java,LoginStateUtil,method3194,isLegacyFlagSupported,cleanup,approved,Normalize renamed legacy-flag helper call
io/buffer/JagBuffer.java,LoginStateUtil,method3196,isLoginState3To6,cleanup,approved,Normalize renamed login-state predicate call
world/scene/SceneViewportRenderer.java,LoginStateUtil,method3196,isLoginState3To6,cleanup,approved,Normalize renamed login-state predicate call
world/scene/Ground.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
script/ClientScriptInterpreter.java,GraphicsRendererPreference,method3179,applyRendererPreferenceMode,cleanup,approved,Normalize extracted renderer-preference helper call
game/vars/VarClientStringList.java,GraphicsRendererPreference,method3179,applyRendererPreferenceMode,cleanup,approved,Normalize extracted renderer-preference helper call
audio/ogg/OggStream.java,GraphicsRendererPreference,method3179,applyRendererPreferenceMode,cleanup,approved,Normalize extracted renderer-preference helper call
crypto/WhirlpoolDigest.java,GraphicsRendererPreference,method3179,applyRendererPreferenceMode,cleanup,approved,Normalize extracted renderer-preference helper call
script/ClientScriptInterpreter.java,SceneViewportRenderer,method3174,fitViewportAndApplyLetterbox,cleanup,approved,Normalize extracted viewport helper call
world/scene/SceneViewportRenderer.java,SceneViewportRenderer,method3174,fitViewportAndApplyLetterbox,cleanup,approved,Normalize extracted viewport helper call
ui/canvas/GameCanvas.java,SceneViewportRenderer,method3175,updateSceneEnvironmentAndPostEffects,cleanup,approved,Normalize extracted scene update helper call
world/scene/SceneViewportRenderer.java,SceneViewportRenderer,method3175,updateSceneEnvironmentAndPostEffects,cleanup,approved,Normalize extracted scene update helper call
cache/ColorImageCacheSlot.java,SceneViewportRenderer,method3175,updateSceneEnvironmentAndPostEffects,cleanup,approved,Normalize extracted scene update helper call
ui/layout/VerticalAlignment.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
graphics/procedural/PerlinNoiseUtil.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
graphics/textureops/TextureOpNormalMap.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
cache/ClientCaches.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
io/buffer/JagBuffer.java,WorldMap,method3177,clearWorldMapOverlayState,cleanup,approved,Normalize extracted world-map reset helper call
ui/loading/LoadStateProcessor.java,Ground,method3178,setGroundResourceArchives,cleanup,approved,Normalize extracted ground archive helper call
ui/loading/LoadStateProcessor.java,ClientStepUtil,method3004,setStepArchiveAndTextureProvider,cleanup,approved,Normalize extracted step-archive helper call
client/Client.java,ShortNode,method3003,clearStaticState,cleanup,approved,Normalize short-node static cleanup helper call
client/Client.java,ByteArraySecondaryNode,method3176,clearStaticState,cleanup,approved,Normalize byte-array secondary node static cleanup helper call
