file,owner,method,signature_before,signature_after,op,param_index,new_name,match_text,phase,status,notes
collections/reference/ReferenceNode.java,ReferenceNode,getValue,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from accessor
collections/reference/ReferenceNode.java,ReferenceNode,isSoft,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from soft-check
collections/reference/HardReferenceNode.java,HardReferenceNode,isSoft,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from hard-reference soft-check
collections/reference/HardReferenceNode.java,HardReferenceNode,isSoft,(),(),drop_statement_contains,,,if (i != -4),cleanup,approved,Drop decompiler guard side-effect line
collections/reference/HardReferenceNode.java,HardReferenceNode,getValue,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from hard-reference accessor
collections/reference/HardReferenceNode.java,HardReferenceNode,getValue,(),(),drop_statement_contains,,,if (i < 75),cleanup,approved,Drop recursive decompiler guard line
collections/reference/SoftReferenceNode.java,SoftReferenceNode,isSoft,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from soft-reference soft-check
collections/reference/SoftReferenceNode.java,SoftReferenceNode,isSoft,(),(),drop_statement_contains,,,if (i != -4),cleanup,approved,Drop decompiler guard side-effect line
collections/reference/SoftReferenceNode.java,SoftReferenceNode,getValue,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from soft-reference accessor
collections/reference/SoftReferenceNode.java,SoftReferenceNode,getValue,(),(),drop_statement_contains,,,if (i <= 75),cleanup,approved,Drop decompiler guard conditional return
collections/reference/HardReferenceNode.java,HardReferenceNode,isSoft,(),(),drop_statement_contains,,,isSoftChecks++,cleanup,approved,Drop dead counter increment after counter removal
collections/reference/HardReferenceNode.java,HardReferenceNode,getValue,(),(),drop_statement_contains,,,getValueCount++,cleanup,approved,Drop dead counter increment after counter removal
collections/reference/ReferenceNodeFactory.java,ReferenceNodeFactory,createSoftReferenceNode,"int,ReferenceNode",ReferenceNode,drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from abstract factory method
collections/reference/SoftReferenceNodeFactory.java,SoftReferenceNodeFactory,createSoftReferenceNode,"int,ReferenceNode",ReferenceNode,drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from concrete factory method
collections/reference/SoftReferenceNodeFactory.java,SoftReferenceNodeFactory,createSoftReferenceNode,ReferenceNode,ReferenceNode,drop_statement_contains,,,if (i != 3) return null;,cleanup,approved,Drop decompiler guard from concrete factory method
collections/value/IntNode.java,IntNode,updateAudioState,byte,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from audio state helper
collections/value/IntNode.java,IntNode,updateAudioState,(),(),drop_statement_contains,,,if (i != 33) clearStaticState(-79);,cleanup,approved,Drop decompiler guard line from audio state helper
collections/value/ByteArraySecondaryNode.java,ByteArraySecondaryNode,clearStaticState,boolean,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from clear helper
collections/value/ByteArraySecondaryNode.java,ByteArraySecondaryNode,clearStaticState,(),(),drop_statement_contains,,,if (bool != true) RasterizerVerticalLine.recolorPalette = null;,cleanup,approved,Drop decompiler guard branch from clear helper
collections/value/ShortNode.java,ShortNode,clearStaticState,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from short-node clear helper
collections/value/ShortNode.java,ShortNode,clearStaticState,(),(),drop_statement_contains,,,if (i != -4587) clearStaticState(-101);,cleanup,approved,Drop recursive decompiler guard from short-node clear helper
collections/value/StringNode.java,StringNode,clearImageProcessingBuffers,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from image-buffer clear helper
collections/value/StringNode.java,StringNode,clearImageProcessingBuffers,(),(),drop_statement_contains,,,if (i != 13022) NpcSpawnLoader.clearNpcSpawnPayloads(-79);,cleanup,approved,Drop decompiler guard line from image-buffer clear helper
collections/value/StringNode.java,StringNode,getLoadedResourceCount,int,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg from loading-progress helper
collections/value/StringNode.java,StringNode,getLoadedResourceCount,(),(),drop_statement_contains,,,if (i != 0) getLoadedResourceCount(101);,cleanup,approved,Drop recursive decompiler guard from loading-progress helper
net/packets/PacketConstants.java,PacketConstants,clearStaticState,boolean,(),drop_param,0,,,cleanup,approved,Drop decompiler sentinel arg after move
