kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
method,Keyboard,Keyboard,,,,method2695,flushEventQueues,Keyboard,module,high,approved,
method,Keyboard,Keyboard,,,,method2696,isKeyDown,Keyboard,module,high,approved,
method,Keyboard,Keyboard,,,,method2697,pollEvent,Keyboard,module,high,approved,
method,Keyboard,Keyboard,,,,method2698,shutdown,Keyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2700,detach,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2701,handleKeyCodeEvent,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2702,enqueueEvent,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2703,applySceneEnvironmentAt,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2704,getModifierMask,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2705,clearStaticState,AwtKeyboard,module,high,approved,
method,AwtKeyboard,AwtKeyboard,,,,method2706,attach,AwtKeyboard,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2211,loadAppletLoadingAssets,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2212,getIntFieldValue,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2213,takeFieldValue,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2214,clearStaticState,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2215,getAlignedX,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2216,getBooleanFieldValue,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2217,hasAnyFlagBits,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2218,getAlignedY,AwtLoadingScreen,module,high,approved,
method,AwtLoadingScreen,AwtLoadingScreen,,,,method2219,renderFallbackLoadingBar,AwtLoadingScreen,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method55,getTransitionDuration,LoadingScreen,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method56,isReady,LoadingScreen,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method57,onStageChanged,LoadingScreen,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method59,dispose,LoadingScreen,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method60,getDisplayedProgress,LoadingScreen,module,high,approved,
method,ClientCanvasResizer,ClientCanvasResizer,,,,method1580,resizeAndApplyWindowMode,ClientCanvasResizer,module,high,approved,
method,ClientCanvasResizer,ClientCanvasResizer,,,,method1581,isAsciiLetter,ClientCanvasResizer,module,high,approved,
method,ClientCanvasResizer,ClientCanvasResizer,,,,method1582,updateMusicFadeState,ClientCanvasResizer,module,high,approved,
field,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,aDirectDraw4607,directDraw,DirectDrawDisplayModeManager,module,high,approved,
field,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,anInt4608,displayModeCount,DirectDrawDisplayModeManager,module,high,approved,
field,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,anIntArray4606,displayModesBuffer,DirectDrawDisplayModeManager,module,high,approved,
method,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,method1144,onEnumDisplayMode,DirectDrawDisplayModeManager,module,high,approved,
method,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,method1145,getAvailableDisplayModes,DirectDrawDisplayModeManager,module,high,approved,
method,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,method1146,enterFullscreenMode,DirectDrawDisplayModeManager,module,high,approved,
method,DirectDrawDisplayModeManager,DirectDrawDisplayModeManager,,,,method1147,exitFullscreenMode,DirectDrawDisplayModeManager,module,high,approved,
method,GameCanvas,GameCanvas,,,,method119,updateCameraSmoothing,GameCanvas,module,high,approved,
method,GameCanvas,GameCanvas,,,,method120,clearStaticState,GameCanvas,module,high,approved,
method,GameCanvas,GameCanvas,,,,method121,setPlayerAppearanceSlot,GameCanvas,module,high,approved,
method,GameCanvas,GameCanvas,,,,method122,getModel,GameCanvas,module,high,approved,
method,GameCanvas,GameCanvas,,,,method123,loadMapRegionData,GameCanvas,module,high,approved,
method,InputEventRecord,InputEventRecord,,,,method3308,getX,InputEventRecord,module,high,approved,
method,InputEventRecord,InputEventRecord,,,,method3310,getType,InputEventRecord,module,high,approved,
method,InputEventRecord,InputEventRecord,,,,method3311,getY,InputEventRecord,module,high,approved,
method,InputEventRecord,InputEventRecord,,,,method3312,getTimestamp,InputEventRecord,module,high,approved,
method,InputEventRecord,InputEventRecord,,,,method3315,getArgument,InputEventRecord,module,high,approved,
method,KeyEventRecord,KeyEventRecord,,,,method26,getModifiers,KeyEventRecord,module,high,approved,
method,KeyEventRecord,KeyEventRecord,,,,method27,getType,KeyEventRecord,module,high,approved,
method,KeyEventRecord,KeyEventRecord,,,,method28,getCharacter,KeyEventRecord,module,high,approved,
method,KeyEventRecord,KeyEventRecord,,,,method29,getTimestamp,KeyEventRecord,module,high,approved,
method,KeyEventRecord,KeyEventRecord,,,,method30,getKeyCode,KeyEventRecord,module,high,approved,
method,KeyLogEntry,KeyLogEntry,,,,method26,getModifiers,KeyLogEntry,module,high,approved,
method,KeyLogEntry,KeyLogEntry,,,,method27,getType,KeyLogEntry,module,high,approved,
method,KeyLogEntry,KeyLogEntry,,,,method28,getCharacter,KeyLogEntry,module,high,approved,
method,KeyLogEntry,KeyLogEntry,,,,method29,getTimestamp,KeyLogEntry,module,high,approved,
method,KeyLogEntry,KeyLogEntry,,,,method30,getKeyCode,KeyLogEntry,module,high,approved,
method,LoadProgressTask,LoadProgressTask,,,,method31,getProgressPercent,LoadProgressTask,module,high,approved,
method,LoadProgressTask,LoadProgressTask,,,,method32,getResourceHandle,LoadProgressTask,module,high,approved,
method,LoadStateProcessor,LoadStateProcessor,,,,method1277,clearLoadingCaches,LoadStateProcessor,module,high,approved,
method,LoadStateProcessor,LoadStateProcessor,,,,method1278,processCurrentStage,LoadStateProcessor,module,high,approved,
method,LoadStateProcessor,LoadStateProcessor,,,,method1279,concatStringRange,LoadStateProcessor,module,high,approved,
field,LoadStateRegistry,LoadStateRegistry,,,,aClass56Array6515,stages,LoadStateRegistry,module,high,approved,
field,LoadStateRegistry,LoadStateRegistry,,,,aClass60_6517,fullscreenLayoutCache,LoadStateRegistry,module,high,approved,
method,LoadStateRegistry,LoadStateRegistry,,,,method2612,decodeFullscreenSpriteLayout,LoadStateRegistry,module,high,approved,
method,LoadStateRegistry,LoadStateRegistry,,,,method2613,clearStaticState,LoadStateRegistry,module,high,approved,
field,Loader,Loader,,,,aJFrame2,clientFrame,Loader,module,high,approved,
field,Loader,Loader,,,,aJPanel3,rootPanel,Loader,module,high,approved,
field,Loader,Loader,,,,aProperties1,parameters,Loader,module,high,approved,
method,Loader,Loader,,,,doApplet,startAsApplet,Loader,module,high,approved,
method,Loader,Loader,,,,doFrame,startInFrame,Loader,module,high,approved,
method,Loader,Loader,,,,setParms,initializeParameters,Loader,module,high,approved,
method,LoadingScreen,LoadingScreen,,,,method58,render,LoadingScreen,module,high,approved,
method,LoadingScreenElement,LoadingScreenElement,,,,method7,initialize,LoadingScreenElement,module,high,approved,
method,LoadingScreenElement,LoadingScreenElement,,,,method8,isReady,LoadingScreenElement,module,high,approved,
method,LoadingScreenElement,LoadingScreenElement,,,,method9,render,LoadingScreenElement,module,high,approved,
field,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,aClass339_1633,newsFetcher,LoadingScreenElementFactory,module,high,approved,
field,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,aClass45_1637,spriteArchive,LoadingScreenElementFactory,module,high,approved,
field,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,aClass45_1641,fontArchive,LoadingScreenElementFactory,module,high,approved,
method,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,method1000,createElement,LoadingScreenElementFactory,module,high,approved,
method,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,method1001,initializeFontGroupIds,LoadingScreenElementFactory,module,high,approved,
method,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,method998,getNewsFetcher,LoadingScreenElementFactory,module,high,approved,
method,LoadingScreenElementFactory,LoadingScreenElementFactory,,,,method999,clearStaticState,LoadingScreenElementFactory,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,aClass114_8590,serverPacket58,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,aClass45_8589,archive,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,aClass46ArrayArray8584,cachedWidgetGroups,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,anInt8585,borderColor,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,anInt8591,fillColor,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,anObject8592,archiveLoadLock,LoadingScreenFillBarLayout,module,high,approved,
method,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,method3571,openArchive,LoadingScreenFillBarLayout,module,high,approved,
method,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,method3572,clearStaticState,LoadingScreenFillBarLayout,module,high,approved,
method,LoadingScreenFillBarLayout,LoadingScreenFillBarLayout,,,,method51,getAmbientSoundManager,LoadingScreenFillBarLayout,module,high,approved,
field,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,aBooleanArrayArrayArray8361,tileVisibilityGrid,LoadingScreenFillBarOp,module,high,approved,
field,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,aClass114_8365,serverPacket30,LoadingScreenFillBarOp,module,high,approved,
field,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,aClass273_8356,loadingScriptTrigger,LoadingScreenFillBarOp,module,high,approved,
method,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,method178,drawFrame,LoadingScreenFillBarOp,module,high,approved,
method,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,method182,drawProgress,LoadingScreenFillBarOp,module,high,approved,
method,LoadingScreenFillBarOp,LoadingScreenFillBarOp,,,,method191,applyPendingSceneClick,LoadingScreenFillBarOp,module,high,approved,
