kind,file,owner,member,signature,param_index,old,new,scope,phase,confidence,status,notes
local,CollisionMap,CollisionMap,,,,class361,collisionMapVar,CollisionMap,module,high,approved,
local,CollisionMap,CollisionMap,,,,class361s,collisionMapVars,CollisionMap,module,high,approved,
local,FloorOverlayType,FloorOverlayType,,,,class277,floorOverlayTypeDef,FloorOverlayType,module,high,approved,
local,FloorOverlayType,FloorOverlayType,,,,class277s,floorOverlayTypeDefs,FloorOverlayType,module,high,approved,
local,GroundTileModel,GroundTileModel,,,,class145,groundTileModel,GroundTileModel,module,high,approved,
local,GroundTileModel,GroundTileModel,,,,class145s,groundTileModels,GroundTileModel,module,high,approved,
local,GroundTilePaint,GroundTilePaint,,,,class266,groundTilePaint,GroundTilePaint,module,high,approved,
local,GroundTilePaint,GroundTilePaint,,,,class266s,groundTilePaints,GroundTilePaint,module,high,approved,
local,Occluder,Occluder,,,,class338,occluderDef,Occluder,module,high,approved,
local,Occluder,Occluder,,,,class338s,occluderDefs,Occluder,module,high,approved,
local,OpenGLTextureFactory,OpenGLTextureFactory,,,,class371,glTextureFactoryVar,OpenGLTextureFactory,module,high,approved,
local,OpenGLTextureFactory,OpenGLTextureFactory,,,,class371s,glTextureFactoryVars,OpenGLTextureFactory,module,high,approved,
local,SceneEnvironmentSettings,SceneEnvironmentSettings,,,,class190,sceneEnvironmentSettingsVar,SceneEnvironmentSettings,module,high,approved,
local,SceneEnvironmentSettings,SceneEnvironmentSettings,,,,class190s,sceneEnvironmentSettingsVars,SceneEnvironmentSettings,module,high,approved,
local,SceneLightAnimator,SceneLightAnimator,,,,class211,sceneLightAnimatorVar,SceneLightAnimator,module,high,approved,
local,SceneLightAnimator,SceneLightAnimator,,,,class211s,sceneLightAnimatorVars,SceneLightAnimator,module,high,approved,
local,SceneTile,SceneTile,,,,class357,sceneTileDef,SceneTile,module,high,approved,
local,SceneTile,SceneTile,,,,class357s,sceneTileDefs,SceneTile,module,high,approved,
local,ShapedTile,ShapedTile,,,,class236,shapedTileDef,ShapedTile,module,high,approved,
local,ShapedTile,ShapedTile,,,,class236s,shapedTileDefs,ShapedTile,module,high,approved,
local,SignLinkRequest,SignLinkRequest,,,,class144,signLinkRequestVar,SignLinkRequest,module,high,approved,
local,SignLinkRequest,SignLinkRequest,,,,class144s,signLinkRequestVars,SignLinkRequest,module,high,approved,
local,SimpleTile,SimpleTile,,,,class102,simpleTileDef,SimpleTile,module,high,approved,
local,SimpleTile,SimpleTile,,,,class102s,simpleTileDefs,SimpleTile,module,high,approved,
local,SoftwareRenderThreadContext,SoftwareRenderThreadContext,,,,class167,renderThreadContextVar,SoftwareRenderThreadContext,module,high,approved,
local,SoftwareRenderThreadContext,SoftwareRenderThreadContext,,,,class167s,renderThreadContextVars,SoftwareRenderThreadContext,module,high,approved,
local,TerrainTileMesh,TerrainTileMesh,,,,class198,terrainTileMesh,TerrainTileMesh,module,high,approved,
local,TerrainTileMesh,TerrainTileMesh,,,,class198s,terrainTileMeshes,TerrainTileMesh,module,high,approved,
local,VertexNormalAccumulator,VertexNormalAccumulator,,,,class8,vertexNormalAccumulatorDef,VertexNormalAccumulator,module,high,approved,
local,VertexNormalAccumulator,VertexNormalAccumulator,,,,class8s,vertexNormalAccumulatorDefs,VertexNormalAccumulator,module,high,approved,
method,WorldMap,WorldMap,,,,method745,drawMapElementPolygon,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method746,clearStaticState,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method747,projectMarkerToScreen,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method748,renderOverview,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method749,clearLoadedAreaData,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method750,decodeTileData,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method751,setViewBounds,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method752,initializeResources,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method753,collectTileObjectMarkers,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method754,setActiveAreaById,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method755,drawTileLayer,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method756,loadAreaData,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method757,getAreaById,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method758,getProjectedMarkers,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method759,computeOverlayColor,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method760,allocateAreaBuffers,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method761,collectGlobalElementMarkers,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method762,projectAllMarkers,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method763,drawMapSceneSprites,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method764,buildOverlayColorLookup,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method765,renderTiles,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method766,findAreaContainingCoord,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method767,findAreasContainingCoord,WorldMap,module,high,approved,
method,WorldMap,WorldMap,,,,method768,computeUnderlayShading,WorldMap,module,high,approved,
