# SoftLruCache method naming pass (core cache operations).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SoftLruCache,method,SoftLruCache,,,,method577,getCapacity,,,,"Configured cache capacity units"
SoftLruCache,method,SoftLruCache,,,,method581,getRemainingCapacity,,,,"Remaining free capacity units"
SoftLruCache,method,SoftLruCache,,,,method583,get,,,,"Lookup by key and promote in LRU order"
SoftLruCache,method,SoftLruCache,,,,method580,putSized,,,,"Insert value with explicit size cost"
SoftLruCache,method,SoftLruCache,,,,method582,put,,,,"Insert value with unit cost"
SoftLruCache,method,SoftLruCache,,,,method586,remove,,,,"Remove entry by key"
SoftLruCache,method,SoftLruCache,,,,method585,removeNode,,,,"Remove node and restore capacity"
SoftLruCache,method,SoftLruCache,,,,method590,clear,,,,"Clear all entries and reset capacity"
SoftLruCache,method,SoftLruCache,,,,method578,demoteAgedEntries,,,,"Convert aged hard refs to soft refs"
SoftLruCache,method,SoftLruCache,,,,method587,removeClearedSoftEntries,,,,"Purge soft refs cleared by GC"
SoftLruCache,method,SoftLruCache,,,,method575,countHardEntries,,,,"Count non-soft entries"
SoftLruCache,method,SoftLruCache,,,,method579,getAny,,,,"Get any live cached value (cleanup stale)"
SoftLruCache,method,SoftLruCache,,,,method588,getAnyFromStart,,,,"Get first live value from table iteration"
