# Image-cache and reference-cache helper method names.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
ColorImageCacheSlot,method,ColorImageCacheSlot,,,,method2991,processClientTick,,,"Process per-tick client/network/input tasks"
ColorImageCache,method,ColorImageCache,,,,method2552,getAppearancePartId,,,"Get cached player-appearance part id by slot"
ColorImageCache,method,ColorImageCache,,,,method2554,resetRegionStateOnPlaneChange,,,"Reset transient region state when plane/mode changes"
ColorImageCache,method,ColorImageCache,,,,method2555,clearStaticState,,,"Clear static color-image-cache references"
ColorImageCache,method,ColorImageCache,,,,method2556,updateActorFrame,,,"Update actor movement/animation frame state"
ReferenceCache,method,ReferenceCache,,,,method1343,setActiveScriptWidgetContext,,,"Set active widget/script context"
ReferenceCache,method,ReferenceCache,,,,method1347,buildRotationScaleMatrix3x3,,,"Build 3x3 transform matrix from angles/scales"
ReferenceCache,method,ReferenceCache,,,,method1349,clearStaticState,,,"Clear static reference-cache state"
MonochromeImageCacheSlot,method,MonochromeImageCacheSlot,,,,method2768,clearStaticState,,,"Clear static monochrome-cache-slot state"
MonochromeImageCacheSlot,method,MonochromeImageCacheSlot,,,,method2769,tryLoadNativeLibrary,,,"Attempt to load native library from configured path"
MonochromeImageCacheSlot,method,MonochromeImageCacheSlot,,,,method2770,initializeColorLut,,,"Initialize HSL->RGB lookup table"
