# Js5Archive method naming pass (high-confidence group/file API semantics).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
Js5Archive,method,Js5Archive,,,,method399,ensureIndexLoaded,,,,"Lazily load archive index metadata"
Js5Archive,method,Js5Archive,,,,method392,isValidGroupId,,,,"Validate group id exists and has files"
Js5Archive,method,Js5Archive,,,,method418,isValidFileId,,,,"Validate (group,file) tuple bounds"
Js5Archive,method,Js5Archive,,,,method406,loadGroupPackedData,,,,"Load packed group payload from provider"
Js5Archive,method,Js5Archive,,,,method419,getGroupLoadPercent,,,,"Get percent loaded for one group"
Js5Archive,method,Js5Archive,,,,method410,getFile,,,,"Read file bytes by (groupId,fileId)"
Js5Archive,method,Js5Archive,,,,method393,getFileWithXtea,,,,"Read file bytes by (groupId,fileId,xtea)"
Js5Archive,method,Js5Archive,,,,method394,unpackGroup,,,,"Inflate/deinterleave packed group into file slots"
Js5Archive,method,Js5Archive,,,,method421,isFileLoadedFlat,,,,"Single-group/single-file shortcut load check"
Js5Archive,method,Js5Archive,,,,method420,isFileLoaded,,,,"Check if file is available or can be loaded"
Js5Archive,method,Js5Archive,,,,method408,isGroupLoaded,,,,"Check if group packed payload is loaded"
Js5Archive,method,Js5Archive,,,,method413,isGroupLoadedByName,,,,"Check group availability by name"
Js5Archive,method,Js5Archive,,,,method400,hasGroupName,,,,"Validate group name exists in index"
Js5Archive,method,Js5Archive,,,,method417,getGroupId,,,,"Resolve group id from group name"
Js5Archive,method,Js5Archive,,,,method391,getFileByName,,,,"Read file bytes by (groupName,fileName)"
Js5Archive,method,Js5Archive,,,,method422,hasFileName,,,,"Check if file name exists in a named group"
Js5Archive,method,Js5Archive,,,,method423,getGroupIdByHash,,,,"Resolve group id from precomputed name hash"
Js5Archive,method,Js5Archive,,,,method414,getGroupCapacity,,,,"Total group slot count from index"
Js5Archive,method,Js5Archive,,,,method407,getGroupFileCount,,,,"Number of files in a group"
Js5Archive,method,Js5Archive,,,,method396,getGroupFileIds,,,,"File ids for a group"
Js5Archive,method,Js5Archive,,,,method405,clearPackedGroups,,,,"Drop packed group cache"
Js5Archive,method,Js5Archive,,,,method411,clearGroupFiles,,,,"Drop unpacked files for one group"
Js5Archive,method,Js5Archive,,,,method412,clearAllFiles,,,,"Drop unpacked files for all groups"
Js5Archive,method,Js5Archive,,,,method409,requestGroupByName,,,,"Request provider prefetch for group name"
Js5Archive,method,Js5Archive,,,,method402,requestGroup,,,,"Request provider prefetch for group id"
