# Js5NetQueue core request/connection API naming pass.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
Js5NetQueue,method,Js5NetQueue,,,,method1906,request,,,,"Create and enqueue a js5 request"
Js5NetQueue,method,Js5NetQueue,,,,method1900,isPriorityRequestQueueFull,,,,"Whether priority queue reached capacity"
Js5NetQueue,method,Js5NetQueue,,,,method1899,isNormalRequestQueueFull,,,,"Whether normal queue reached capacity"
Js5NetQueue,method,Js5NetQueue,,,,method1902,getPriorityRequestCount,,,,"Count of queued/inflight priority requests"
Js5NetQueue,method,Js5NetQueue,,,,method1894,getNormalRequestCount,,,,"Count of queued/inflight normal requests"
Js5NetQueue,method,Js5NetQueue,,,,method1903,setSocket,,,,"Bind/reset socket and replay pending requests"
Js5NetQueue,method,Js5NetQueue,,,,method1893,processIo,,,,"Pump js5 network I/O"
Js5NetQueue,method,Js5NetQueue,,,,method1904,resetConnection,,,,"Drop socket and rotate xor key after failure"
Js5NetQueue,method,Js5NetQueue,,,,method1901,closeSocket,,,,"Close active socket if present"
Js5NetQueue,method,Js5NetQueue,,,,method1892,sendLoginState,,,,"Send login state/control packet"
