# Synthetic Class caches emitted by decompiler; normalize naming.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
Client,field,Client,,,,aClass5189,cachedClass,,,
ClientPreferences,field,ClientPreferences,,,,aClass7273,cachedClass,,,
LoadingScreenTextLayout,field,LoadingScreenTextLayout,,,,aClass4949,cachedClass,,,
SoftwareSpriteMask,field,SoftwareSpriteMask,,,,aClass5208,cachedClass,,,
LoadingScreenRotatingSpriteOp,field,LoadingScreenRotatingSpriteOp,,,,aClass8389,cachedClass,,,
TextureOpHorizontalGradient,field,TextureOpHorizontalGradient,,,,aClass9260,cachedClass,,,
NativeToolkit,field,NativeToolkit,,,,aClass8211,cachedClass,,,
OpenGLxCubeMapTexture,field,OpenGLxCubeMapTexture,,,,aClass8623,cachedClass,,,
OpenGLArbProgram,field,OpenGLArbProgram,,,,aClass2276,cachedClass,,,
MapRegionBuilder,field,MapRegionBuilder,,,,aClass5827,cachedClass,,,
MapRegionLoader,field,MapRegionLoader,,,,aClass7056,cachedClass,,,
WorldMapSection,field,WorldMapSection,,,,aClass6823,cachedClass,,,
PlayerUpdateDecoder,field,PlayerUpdateDecoder,,,,aClass1919,cachedClass0,,,
PlayerUpdateDecoder,field,PlayerUpdateDecoder,,,,aClass1920,cachedClass1,,,
TimedVarEntry,field,TimedVarEntry,,,,aClass6767,cachedClass,,,
MonochromeImageCacheSlot,field,MonochromeImageCacheSlot,,,,aClass6640,cachedClass,,,
WorldListDecoder,field,WorldListDecoder,,,,aClass2478,cachedClass,,,
WorldListEntryBase,field,WorldListEntryBase,,,,aClass1713,cachedClass0,,,
WorldListEntryBase,field,WorldListEntryBase,,,,aClass1714,cachedClass1,,,
SignLink,field,SignLink,,,,aClass3804,cachedClass0,,,
SignLink,field,SignLink,,,,aClass3805,cachedClass1,,,
SignLink,field,SignLink,,,,aClass3806,cachedClass2,,,
SignLink,field,SignLink,,,,aClass3807,cachedClass3,,,
