# High-confidence semantic field renames: buffer/socket/stream core classes.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
JagBuffer,field,JagBuffer,,,,aByteArray7154,data,,,"JagBuffer backing byte array"
JagBuffer,field,JagBuffer,,,,anInt7197,pos,,,"JagBuffer read/write cursor"
PacketBuffer,field,PacketBuffer,,,,anInt9754,bitPos,,,"Current bit-access cursor"
PacketBuffer,field,PacketBuffer,,,,aClass77_9756,isaacCipher,,,"ISAAC cipher used for packet opcode encryption"
BufferedSocket,field,BufferedSocket,,,,anInputStream2652,inputStream,,,"Socket input stream"
BufferedSocket,field,BufferedSocket,,,,anOutputStream2657,outputStream,,,"Socket output stream"
BufferedSocket,field,BufferedSocket,,,,aSocket2668,socket,,,"Underlying network socket"
BufferedSocket,field,BufferedSocket,,,,aByteArray2663,writeBuffer,,,"Async writer ring buffer"
BufferedSocket,field,BufferedSocket,,,,anInt2648,writePos,,,"Ring-buffer write cursor"
BufferedSocket,field,BufferedSocket,,,,anInt2656,flushPos,,,"Ring-buffer flush cursor"
BufferedSocket,field,BufferedSocket,,,,anInt2669,bufferCapacity,,,"Ring-buffer capacity"
BufferedSocket,field,BufferedSocket,,,,aBoolean2654,closed,,,"Socket closed flag"
BufferedSocket,field,BufferedSocket,,,,aBoolean2659,writeExceptionPending,,,"Async writer error flag"
BufferedSocket,field,BufferedSocket,,,,aClass144_2658,writerTask,,,"SignLink task running writer thread"
BufferedSocket,field,BufferedSocket,,,,aClass297_2649,signLink,,,"SignLink instance used to spawn writer thread"
ClientStreamWriter,field,ClientStreamWriter,,,,anIOException2704,writeException,,,"Captured async write exception"
ClientStreamWriter,field,ClientStreamWriter,,,,anInt2705,readPos,,,"Ring-buffer read cursor"
ClientStreamWriter,field,ClientStreamWriter,,,,aByteArray2706,buffer,,,"Ring-buffer storage"
ClientStreamWriter,field,ClientStreamWriter,,,,aThread2708,writerThread,,,"Background writer thread"
ClientStreamWriter,field,ClientStreamWriter,,,,anOutputStream2712,outputStream,,,"Destination output stream"
ClientStreamWriter,field,ClientStreamWriter,,,,anInt2713,writePos,,,"Ring-buffer write cursor"
ClientStreamWriter,field,ClientStreamWriter,,,,anInt2715,capacity,,,"Ring-buffer capacity"
Js5VideoStream,field,Js5VideoStream,,,,aClass45_5267,archive,,,"Source JS5 archive"
Js5VideoStream,field,Js5VideoStream,,,,anIntArray5269,chunkFileIds,,,"Sequence of chunk file ids"
Js5VideoStream,field,Js5VideoStream,,,,anInt5270,nextChunkIndex,,,"Index of next chunk to stream"
Js5VideoStream,field,Js5VideoStream,,,,anInt5272,indexFileId,,,"Index/playlist file id in archive"
Js5VideoStream,field,Js5VideoStream,,,,aClass348_Sub49_5274,chunkBuffer,,,"Current chunk buffer"
Js5VideoStream,field,Js5VideoStream,,,,aByteArrayArray5275,prefetchedChunks,,,"Sliding window of prefetched chunk payloads"
Js5VideoStream,field,Js5VideoStream,,,,aClass348_Sub49_5276,outputBuffer,,,"Temporary output staging buffer"
