# Preference accessors that directly return stored value.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SafeModePreference,method,SafeModePreference,,,,method1768,getValue,,,"Return current safe mode preference value"
IdleAnimationsPreference,method,IdleAnimationsPreference,,,,method1776,getValue,,,"Return current idle animations preference value"
GroundDecorationsPreference,method,GroundDecorationsPreference,,,,method1737,getValue,,,"Return current ground decorations preference value"
DynamicLightingPreference,method,DynamicLightingPreference,,,,method1845,getValue,,,"Return current dynamic lighting preference value"
VolumePreference,method,VolumePreference,,,,method1838,getValue,,,"Return current volume preference value"
WindowModePreference,method,WindowModePreference,,,,method1751,getValue,,,"Return current window mode preference value"
BloomPreference,method,BloomPreference,,,,method1771,getValue,,,"Return current bloom preference value"
BuildAreaPreference,method,BuildAreaPreference,,,,method1743,getValue,,,"Return current build area preference value"
ScreenSizePreference,method,ScreenSizePreference,,,,method1818,getValue,,,"Return current screen size preference value"
TexturesPreference,method,TexturesPreference,,,,method1820,getValue,,,"Return current textures preference value"
HighDetailRenderingPreference,method,HighDetailRenderingPreference,,,,method1759,getValue,,,"Return current high-detail rendering preference value"
OrthographicModePreference,method,OrthographicModePreference,,,,method1727,getValue,,,"Return current orthographic mode preference value"
WaterDetailPreference,method,WaterDetailPreference,,,,method1800,getValue,,,"Return current water detail preference value"
LowMemoryTextureResolutionPreference,method,LowMemoryTextureResolutionPreference,,,,method1726,getValue,,,"Return current low-memory texture resolution preference value"
RenderAllLevelsPreference,method,RenderAllLevelsPreference,,,,method1840,getValue,,,"Return current render-all-levels preference value"
LoadingScreenPreference,method,LoadingScreenPreference,,,,method1805,getValue,,,"Return current loading screen preference value"
FogPreference,method,FogPreference,,,,method1789,getValue,,,"Return current fog preference value"
StereoSoundPreference,method,StereoSoundPreference,,,,method1739,getValue,,,"Return current stereo sound preference value"
RoofsPreference,method,RoofsPreference,,,,method1778,getValue,,,"Return current roofs preference value"
CpuUsagePreference,method,CpuUsagePreference,,,,method1798,getValue,,,"Return current cpu usage preference value"
CharacterShadowsPreference,method,CharacterShadowsPreference,,,,method1812,getValue,,,"Return current character shadows preference value"
CustomCursorsPreference,method,CustomCursorsPreference,,,,method1815,getValue,,,"Return current custom cursors preference value"
FlickeringEffectsPreference,method,FlickeringEffectsPreference,,,,method1720,getValue,,,"Return current flickering effects preference value"
GraphicsRendererPreference,method,GraphicsRendererPreference,,,,method1829,getValue,,,"Return current graphics renderer preference value"
UnknownPreference29,method,UnknownPreference29,,,,method1848,getValue,,,"Return current unknown preference 29 value"
AntiAliasingPreference,method,AntiAliasingPreference,,,,method1808,getValue,,,"Return current anti-aliasing preference value"
ParticlesPreference,method,ParticlesPreference,,,,method1784,getValue,,,"Return current particles preference value"
SceneryShadowsPreference,method,SceneryShadowsPreference,,,,method1748,getValue,,,"Return current scenery shadows preference value"
BrightnessPreference,method,BrightnessPreference,,,,method1764,getValue,,,"Return current brightness preference value"
