# Secondary/intrusive list primitives (high fan-in).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SecondaryNode,field,SecondaryNode,,,,aClass348_Sub42_7060,secondaryPrev,,,,"Previous node in secondary list"
SecondaryNode,field,SecondaryNode,,,,aClass348_Sub42_7063,secondaryNext,,,,"Next node in secondary list"
SecondaryLinkedList,field,SecondaryLinkedList,,,,aClass348_Sub42_1647,sentinel,,,,"List sentinel node"
SecondaryLinkedList,field,SecondaryLinkedList,,,,aClass348_Sub42_1652,iterCursor,,,,"Iteration cursor"
DoublyLinkedNode,field,DoublyLinkedNode,,,,aClass318_3970,next,,,,"Next node in intrusive deque"
DoublyLinkedNode,field,DoublyLinkedNode,,,,aClass318_3976,prev,,,,"Previous node in intrusive deque"
LinkedNodeHashTable,field,LinkedNodeHashTable,,,,anInt448,bucketCount,,,,"Number of buckets"
LinkedNodeHashTable,field,LinkedNodeHashTable,,,,aClass348_Sub42Array452,buckets,,,,"Bucket sentinel nodes (one per bucket)"
LinkedNodeHashTable,field,LinkedNodeHashTable,,,,aLong453,searchKey,,,,"Current lookup key during search/iteration"
LinkedNodeHashTable,field,LinkedNodeHashTable,,,,aClass348_Sub42_454,searchCursor,,,,"Cursor used by method334/method336"

