# Remaining collections core methods.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
DoublyLinkedNodeUtil,method,DoublyLinkedNodeUtil,,,,method1884,renderOcclusionDebugOverlay,,,"Render occlusion/debug overlay metrics"
Node,method,Node,,,,method2709,hasBit0x21,,,"Check whether bit 0x21 mask is present"
Node,method,Node,,,,method2710,classifyThreshold96And128,,,"Classify value by thresholds 96 and 128"
Node,method,Node,,,,method2711,buildCachedModelVariant,,,"Build/cached generated model variant"
Node,method,Node,,,,method2713,clearStaticState,,,"Clear static Node state"
Node,method,Node,,,,method2714,isOneThreeOrFive,,,"Check whether value is 1, 3, or 5"
DequeIterator,method,DequeIterator,,,,method2330,resetInboundProtocolState,,,"Reset inbound protocol and world entity state"
LinkDeque,method,LinkDeque,,,,method1877,updateActiveParticleSystems,,,"Update/render active particle systems"
LinkDeque,method,LinkDeque,,,,method1879,selectSceneTileBuffers,,,"Select active scene tile/surface buffers"
NodeDeque,method,NodeDeque,,,,method1991,computeProjectedUvByMode,,,"Compute projected UV coordinates by mode/rotation"
IntHashTable,method,IntHashTable,,,,method2364,drawCubicBezier,,,"Rasterize cubic bezier curve"
SecondaryLinkedListIterator,method,SecondaryLinkedListIterator,,,,method1241,hasOverlayInteractionBits,,,"Check overlay/interaction bit pattern"
