# NodeDeque + SecondaryLinkedList method naming pass (safe traversal/mutation API).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
NodeDeque,method,NodeDeque,,,,method1995,first,,,,"Get first node and set forward iterator cursor"
NodeDeque,method,NodeDeque,,,,method1990,next,,,,"Get next node using forward iterator cursor"
NodeDeque,method,NodeDeque,,,,method1993,last,,,,"Get last node and set reverse iterator cursor"
NodeDeque,method,NodeDeque,,,,method2003,prev,,,,"Get previous node using reverse iterator cursor"
NodeDeque,method,NodeDeque,,,,method1997,removeFirst,,,,"Remove and return first node"
NodeDeque,method,NodeDeque,,,,method1996,clear,,,,"Unlink all nodes"
NodeDeque,method,NodeDeque,,,,method1998,size,,,,"Count nodes in deque"
NodeDeque,method,NodeDeque,,,,method2002,isEmpty,,,,"Whether deque contains no nodes"
NodeDeque,method,NodeDeque,,,,method1999,addLast,,,,"Insert node at tail"
NodeDeque,method,NodeDeque,,,,method2001,addFirst,,,,"Insert node at head"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1011,first,,,,"Get first secondary node and set iterator cursor"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1003,next,,,,"Get next secondary node from iterator cursor"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1008,removeFirst,,,,"Remove and return first secondary node"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1009,clear,,,,"Unlink all secondary nodes"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1002,size,,,,"Count nodes in list"
SecondaryLinkedList,method,SecondaryLinkedList,,,,method1005,addLast,,,,"Insert secondary node at tail"
