# Hash table method naming pass (core lookup/iteration API).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
HashTable,method,HashTable,,,,method3480,get,,,,"Lookup first node by key"
HashTable,method,HashTable,,,,method3476,nextWithKey,,,,"Continue lookup for duplicate key"
HashTable,method,HashTable,,,,method3483,put,,,,"Insert node by key"
HashTable,method,HashTable,,,,method3481,clear,,,,"Clear all buckets"
HashTable,method,HashTable,,,,method3484,first,,,,"Start table iteration"
HashTable,method,HashTable,,,,method3482,next,,,,"Advance table iteration"
HashTable,method,HashTable,,,,method3474,size,,,,"Count nodes in table"
HashTable,method,HashTable,,,,method3475,getBucketCount,,,,"Return configured bucket count"
HashTable,method,HashTable,,,,method3477,copyNodesToArray,,,,"Copy all nodes into destination array"
LinkedNodeHashTable,method,LinkedNodeHashTable,,,,method334,get,,,,"Lookup first secondary node by key"
LinkedNodeHashTable,method,LinkedNodeHashTable,,,,method336,nextWithKey,,,,"Continue lookup for duplicate key"
LinkedNodeHashTable,method,LinkedNodeHashTable,,,,method335,put,,,,"Insert secondary node by key"
