# Node/SecondaryNode/ReferenceNode primitive method naming pass.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
Node,method,Node,,,,method2715,unlink,,,,"Detach node from primary doubly linked list"
Node,method,Node,,,,method2712,isLinked,,,,"Whether node is currently linked"
SecondaryNode,method,SecondaryNode,,,,method3162,unlinkSecondary,,,,"Detach node from secondary linked list"
SecondaryNode,method,SecondaryNode,,,,method3164,isSecondaryLinked,,,,"Whether node is currently linked in secondary list"
DoublyLinkedNode,method,DoublyLinkedNode,,,,method2373,unlink,,,,"Detach node from intrusive doubly linked deque"
ReferenceNode,method,ReferenceNode,,,,method3193,getValue,,,,"Get cached value (hard/soft reference)"
ReferenceNode,method,ReferenceNode,,,,method3195,isSoft,,,,"Whether entry is soft-reference-backed"
HardReferenceNode,method,HardReferenceNode,,,,method3193,getValue,,,,"Hard reference value accessor"
HardReferenceNode,method,HardReferenceNode,,,,method3195,isSoft,,,,"Hard reference nodes are not soft"
SoftReferenceNode,method,SoftReferenceNode,,,,method3193,getValue,,,,"Soft reference value accessor"
SoftReferenceNode,method,SoftReferenceNode,,,,method3195,isSoft,,,,"Soft reference nodes report true"
