# HitmarkType fields decoded from opcodes and OpenGLToolkit rendering usage.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
HitmarkType,field,HitmarkType,,,,anInt435,fontId,,,,"Font id used to render hitmark text"
HitmarkType,field,HitmarkType,,,,anInt444,textColor,,,,"Base RGB text color"
HitmarkType,field,HitmarkType,,,,anInt421,leftSpriteId,,,,"Left cap sprite id"
HitmarkType,field,HitmarkType,,,,anInt433,middleSpriteId,,,,"Middle/tiled sprite id"
HitmarkType,field,HitmarkType,,,,anInt429,rightSpriteId,,,,"Right cap sprite id"
HitmarkType,field,HitmarkType,,,,anInt439,iconSpriteId,,,,"Trailing icon sprite id"
HitmarkType,field,HitmarkType,,,,aString423,textTemplate,,,,"Template string containing %1 placeholder"
HitmarkType,field,HitmarkType,,,,anInt434,durationCycles,,,,"Lifetime in client cycles"
HitmarkType,field,HitmarkType,,,,anInt426,fadeStartCycle,,,,"Cycle offset where alpha fade begins"
HitmarkType,field,HitmarkType,,,,anInt431,replacementMode,,,,"Slot replacement strategy (0=earliest expiry, 1=lowest value)"
HitmarkType,field,HitmarkType,,,,anInt424,movementOffsetX,,,,"Horizontal interpolation offset over lifetime"
HitmarkType,field,HitmarkType,,,,anInt422,movementOffsetY,,,,"Vertical interpolation offset over lifetime"
HitmarkType,field,HitmarkType,,,,anInt420,textBaselineOffsetY,,,,"Extra baseline Y offset applied to text/sprites"
