# ItemType core decode fields (high-confidence opcode mappings).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
ItemType,field,ItemType,,,,anInt2756,modelId,,,,"Base model id (opcode 1)"
ItemType,field,ItemType,,,,aString2795,name,,,,"Item name (opcode 2)"
ItemType,field,ItemType,,,,anInt2825,zoom2d,,,,"Inventory sprite zoom (opcode 4)"
ItemType,field,ItemType,,,,anInt2787,xan2d,,,,"Inventory X rotation (opcode 5)"
ItemType,field,ItemType,,,,anInt2781,yan2d,,,,"Inventory Y rotation (opcode 6)"
ItemType,field,ItemType,,,,anInt2779,offsetX2d,,,,"Inventory X offset (opcode 7)"
ItemType,field,ItemType,,,,anInt2826,offsetY2d,,,,"Inventory Y offset (opcode 8)"
ItemType,field,ItemType,,,,anInt2819,stackable,,,,"Stackable flag/int form (opcode 11)"
ItemType,field,ItemType,,,,anInt2802,value,,,,"Shop value/cost (opcode 12/18 path)"
ItemType,field,ItemType,,,,aBoolean2783,membersOnly,,,,"Members-only item flag (opcode 16)"
ItemType,field,ItemType,,,,aBoolean2755,tradable,,,,"Tradable flag (opcode 65)"
ItemType,field,ItemType,,,,aStringArray2811,groundActions,,,,"Ground interaction actions (opcodes 30-34)"
ItemType,field,ItemType,,,,aStringArray2763,inventoryActions,,,,"Inventory interaction actions (opcodes 35-39)"
ItemType,field,ItemType,,,,aShortArray2777,recolorFrom,,,,"Model recolor source indices (opcode 40)"
ItemType,field,ItemType,,,,aShortArray2771,recolorTo,,,,"Model recolor target indices (opcode 40)"
ItemType,field,ItemType,,,,aShortArray2785,retextureFrom,,,,"Model retexture source indices (opcode 41)"
ItemType,field,ItemType,,,,aShortArray2801,retextureTo,,,,"Model retexture target indices (opcode 41)"
ItemType,field,ItemType,,,,aByteArray2821,recolorPaletteIndices,,,,"Optional recolor palette map (opcode 42)"
ItemType,field,ItemType,,,,anInt2833,noteTemplateId,,,,"Noted template item id (opcode 98)"
ItemType,field,ItemType,,,,anInt2758,noteId,,,,"Noted linked item id (opcode 97)"
ItemType,field,ItemType,,,,anIntArray2762,stackVariantItemIds,,,,"Item ids for stack-size variants (opcodes 100-109)"
ItemType,field,ItemType,,,,anIntArray2831,stackVariantThresholds,,,,"Stack thresholds for variant ids (opcodes 100-109)"
ItemType,field,ItemType,,,,anInt2786,resizeX,,,,"Model resize X (opcode 110)"
ItemType,field,ItemType,,,,anInt2794,resizeY,,,,"Model resize Y (opcode 111)"
ItemType,field,ItemType,,,,anInt2765,resizeZ,,,,"Model resize Z (opcode 112)"
ItemType,field,ItemType,,,,anInt2791,ambient,,,,"Model ambient bias (opcode 113)"
ItemType,field,ItemType,,,,anInt2824,contrast,,,,"Model contrast bias (opcode 114 * 5)"
ItemType,field,ItemType,,,,anInt2827,team,,,,"Team id (opcode 115)"
ItemType,field,ItemType,,,,aClass356_2757,params,,,,"Arbitrary param table (opcode 249)"
ItemType,field,ItemType,,,,anInt2810,zan2d,,,,"Inventory Z rotation (opcode 95)"
ItemType,field,ItemType,,,,anInt2815,maleWearModel0,,,,"Male wearable model base (opcode 23)"
ItemType,field,ItemType,,,,anInt2804,maleWearModel1,,,,"Male wearable model secondary (opcode 24)"
ItemType,field,ItemType,,,,anInt2805,maleWearModel2,,,,"Male wearable model tertiary (opcode 78)"
ItemType,field,ItemType,,,,anInt2788,femaleWearModel0,,,,"Female wearable model base (opcode 25)"
ItemType,field,ItemType,,,,anInt2760,femaleWearModel1,,,,"Female wearable model secondary (opcode 26)"
ItemType,field,ItemType,,,,anInt2770,femaleWearModel2,,,,"Female wearable model tertiary (opcode 79)"
ItemType,field,ItemType,,,,anInt2792,maleHeadModel0,,,,"Male head model base (opcode 90)"
ItemType,field,ItemType,,,,anInt2767,maleHeadModel1,,,,"Male head model secondary (opcode 92)"
ItemType,field,ItemType,,,,anInt2822,femaleHeadModel0,,,,"Female head model base (opcode 91)"
ItemType,field,ItemType,,,,anInt2775,femaleHeadModel1,,,,"Female head model secondary (opcode 93)"
ItemType,field,ItemType,,,,anInt2812,boughtTemplateId,,,,"Bought template item id (opcode 122)"
ItemType,field,ItemType,,,,anInt2778,boughtId,,,,"Bought linked item id (opcode 121)"
