# ItemType behavior and decode pipeline names (high-confidence).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
ItemType,field,ItemType,,,,anInt2769,id,,,,"Item definition id (set by ItemTypeList loader)"
ItemType,field,ItemType,,,,anInt2799,dummyItem,,,,"Dummy/hidden item flag (opcode 96)"
ItemType,field,ItemType,,,,anInt2820,alwaysShowCount,,,,"Force amount text in inventory sprite overlays"
ItemType,field,ItemType,,,,anInt2807,maleWearOffsetX,,,,"Male wear model offset X (opcode 125)"
ItemType,field,ItemType,,,,anInt2797,maleWearOffsetY,,,,"Male wear model offset Y (opcode 125)"
ItemType,field,ItemType,,,,anInt2808,maleWearOffsetZ,,,,"Male wear model offset Z (opcode 125)"
ItemType,field,ItemType,,,,anInt2803,femaleWearOffsetX,,,,"Female wear model offset X (opcode 126)"
ItemType,field,ItemType,,,,anInt2753,femaleWearOffsetY,,,,"Female wear model offset Y (opcode 126)"
ItemType,field,ItemType,,,,anInt2823,femaleWearOffsetZ,,,,"Female wear model offset Z (opcode 126)"
ItemType,field,ItemType,,,,anIntArray2772,questRequirementIds,,,,"Quest requirement ids (opcode 132)"
ItemType,method,ItemType,,,,method1569,decode,,,,"Decode full item definition payload"
ItemType,method,ItemType,,,,method1566,decodeOpcode,,,,"Decode a single item opcode"
ItemType,method,ItemType,,,,method1567,getIntParam,,,,"Read int param with fallback"
ItemType,method,ItemType,,,,method1561,getStringParam,,,,"Read string param with fallback"
ItemType,method,ItemType,,,,method1560,getStackVariant,,,,"Resolve stack-size variant item"
ItemType,method,ItemType,,,,method1562,renderInventorySpritePixels,,,,"Render 36x32 inventory sprite pixels"
ItemType,method,ItemType,,,,method1570,applyNoteTemplate,,,,"Apply note linkage/template fields"
ItemType,method,ItemType,,,,method1556,applyBoughtTemplate,,,,"Apply bought/lent linkage/template fields"
ItemType,method,ItemType,,,,method1554,getHeadModelData,,,,"Build head model data for gender"
ItemType,method,ItemType,,,,method1555,hasHeadModelData,,,,"Check head model availability"
ItemType,method,ItemType,,,,method1558,getWearModelData,,,,"Build wearable model data for gender"
ItemType,method,ItemType,,,,method1565,hasWearModelData,,,,"Check wearable model availability"
ItemType,method,ItemType,,,,method1559,getModel,,,,"Build/cache rendered item model"
ItemType,method,ItemType,,,,method1563,postDecode,,,,"Finalize state after decode"
ItemType,method,ItemType,,,,method1571,applySpriteShadow,,,,"Apply inventory sprite shadow pass"
ItemType,method,ItemType,,,,method1572,applySpriteOutline,,,,"Apply inventory sprite outline pass"
