# ItemType/ItemTypeList API naming cleanup.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
ItemType,field,ItemType,,,,aClass255_2761,list,,,,"Owning ItemTypeList reference"
ItemTypeList,method,ItemTypeList,,,,method1940,get,,,,"Get item type by id"
ItemTypeList,method,ItemTypeList,,,,method1932,getSprite,,,,"Render/fetch item icon sprite"
ItemTypeList,method,ItemTypeList,,,,method1941,getCachedSprite,,,,"Lookup sprite from sprite cache"
ItemTypeList,method,ItemTypeList,,,,method1930,clearModelCache,,,,"Clear model cache entries"
ItemTypeList,method,ItemTypeList,,,,method1934,setAllowMembers,,,,"Toggle members filtering mode"
ItemTypeList,method,ItemTypeList,,,,method1936,clearSpriteCache,,,,"Clear sprite cache entries"
ItemTypeList,method,ItemTypeList,,,,method1937,trimCaches,,,,"Trim all caches to target size"
ItemTypeList,method,ItemTypeList,,,,method1938,removeSoftReferences,,,,"Drop soft references from caches"
ItemTypeList,method,ItemTypeList,,,,method1939,clearCaches,,,,"Clear all caches"
ItemTypeList,method,ItemTypeList,,,,method1942,setModelAmbientBias,,,,"Set shared model ambient bias"
ItemTypeList,method,ItemTypeList,,,,method1929,zoneUpdateTypes,,,,"Return zone update enum values"
ItemTypeList,method,ItemTypeList,,,,method1931,clearStaticState,,,,"Clear static cached state"
ItemTypeList,method,ItemTypeList,,,,method1933,loadSprites,,,,"Load shared UI sprite sets"
ItemTypeList,method,ItemTypeList,,,,method1935,populateBoundingCylinder,,,,"Fill bounding cylinder from model bounds"
