# Core config list/archive/cache fields.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
BASTypeList,field,BASTypeList,,,,aClass45_3319,configArchive,,,,"Archive containing BASType definitions"
BASTypeList,field,BASTypeList,,,,aClass60_3321,typeCache,,,,"BASType definition cache"
FloorUnderlayTypeList,field,FloorUnderlayTypeList,,,,aClass45_2461,configArchive,,,,"Archive containing floor underlay definitions"
FloorUnderlayTypeList,field,FloorUnderlayTypeList,,,,aClass60_2458,typeCache,,,,"FloorUnderlayType definition cache"
SeqTypeList,field,SeqTypeList,,,,aClass45_1488,configArchive,,,,"Archive containing SeqType definitions"
SeqTypeList,field,SeqTypeList,,,,aClass60_1487,typeCache,,,,"SeqType definition cache"
SeqTypeList,field,SeqTypeList,,,,aClass60_1491,animFramesCache,,,,"AnimFrames cache for sequence framesets"
ItemTypeList,field,ItemTypeList,,,,aClass45_3267,configArchive,,,,"Archive containing item definitions"
ItemTypeList,field,ItemTypeList,,,,aClass45_3268,modelArchive,,,,"Archive containing item model data"
ItemTypeList,field,ItemTypeList,,,,aClass60_3278,typeCache,,,,"ItemType definition cache"
ItemTypeList,field,ItemTypeList,,,,aClass60_3287,modelCache,,,,"Item model cache (per toolkit)"
ItemTypeList,field,ItemTypeList,,,,aClass175_3288,spriteCache,,,,"Item sprite/icon cache"
ItemTypeList,field,ItemTypeList,,,,aClass126_3289,spriteCacheKey,,,,"Reusable lookup key for item sprite cache"
ItemTypeList,field,ItemTypeList,,,,aClass326_3292,paramTypeList,,,,"ParamTypeList for member-only param filtering"
ItemTypeList,field,ItemTypeList,,,,aBoolean3269,allowMembers,,,,"Whether members-only item data is enabled"
ItemTypeList,field,ItemTypeList,,,,anInt3271,typeCount,,,,"Total number of item type ids"
ItemTypeList,field,ItemTypeList,,,,anInt3286,languageId,,,,"Language id used for localized default labels"
ItemTypeList,field,ItemTypeList,,,,anInt3291,modelAmbientBias,,,,"Ambient bias used when building item models"
ItemTypeList,field,ItemTypeList,,,,aStringArray3290,defaultGroundActions,,,,"Fallback ground action labels for members items"
ItemTypeList,field,ItemTypeList,,,,aStringArray3293,defaultInventoryActions,,,,"Fallback inventory action labels for members items"
