# World/entity list archive/cache fields.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
VarBitTypeList,field,VarBitTypeList,,,,aClass45_2597,configArchive,,,,"Archive containing VarBitType definitions"
VarBitTypeList,field,VarBitTypeList,,,,aClass60_2594,typeCache,,,,"VarBitType definition cache"
VarPlayerTypeList,field,VarPlayerTypeList,,,,aClass45_2842,configArchive,,,,"Archive containing VarPlayerType definitions"
VarPlayerTypeList,field,VarPlayerTypeList,,,,aClass60_2848,typeCache,,,,"VarPlayerType definition cache"
VarPlayerTypeList,field,VarPlayerTypeList,,,,anInt2845,typeCount,,,,"Number of VarPlayerType entries"
VarcTypeList,field,VarcTypeList,,,,aClass45_3299,configArchive,,,,"Archive containing VarcType definitions"
VarcTypeList,field,VarcTypeList,,,,aClass60_3303,typeCache,,,,"VarcType definition cache"
VarcTypeList,field,VarcTypeList,,,,anInt3305,typeCount,,,,"Number of VarcType entries"
MapElementTypeList,field,MapElementTypeList,,,,aClass45_2084,configArchive,,,,"Archive containing map element definitions"
MapElementTypeList,field,MapElementTypeList,,,,aClass45_2087,spriteArchive,,,,"Archive containing map element sprites"
MapElementTypeList,field,MapElementTypeList,,,,aClass60_2083,typeCache,,,,"MapElementType definition cache"
MapElementTypeList,field,MapElementTypeList,,,,aClass60_2089,spriteCache,,,,"Map element sprite cache"
MapSceneTypeList,field,MapSceneTypeList,,,,aClass45_1971,configArchive,,,,"Archive containing map scene definitions"
MapSceneTypeList,field,MapSceneTypeList,,,,aClass45_1965,spriteArchive,,,,"Archive containing map scene sprites"
MapSceneTypeList,field,MapSceneTypeList,,,,aClass60_1963,typeCache,,,,"MapSceneType definition cache"
MapSceneTypeList,field,MapSceneTypeList,,,,aClass60_1976,spriteCache,,,,"Map scene sprite cache"
CursorTypeList,field,CursorTypeList,,,,aClass45_2188,configArchive,,,,"Archive containing cursor definitions"
CursorTypeList,field,CursorTypeList,,,,aClass45_2180,spriteArchive,,,,"Archive containing cursor sprites"
CursorTypeList,field,CursorTypeList,,,,aClass60_2185,typeCache,,,,"CursorType definition cache"
CursorTypeList,field,CursorTypeList,,,,aClass60_2190,spriteCache,,,,"Cursor sprite cache"
LightTypeList,field,LightTypeList,,,,aClass45_2480,configArchive,,,,"Archive containing light definitions"
LightTypeList,field,LightTypeList,,,,aClass60_2479,typeCache,,,,"LightType definition cache"
NpcTypeList,field,NpcTypeList,,,,aClass45_3585,configArchive,,,,"Archive containing npc definitions"
NpcTypeList,field,NpcTypeList,,,,aClass45_3576,modelArchive,,,,"Archive containing npc model data"
NpcTypeList,field,NpcTypeList,,,,aClass60_3577,typeCache,,,,"NpcType definition cache"
NpcTypeList,field,NpcTypeList,,,,aClass60_3590,modelCache,,,,"Npc model cache"
NpcTypeList,field,NpcTypeList,,,,aClass60_3592,secondaryModelCache,,,,"Secondary npc model cache"
NpcTypeList,field,NpcTypeList,,,,aBoolean3583,allowMembers,,,,"Whether members-only npc data is enabled"
NpcTypeList,field,NpcTypeList,,,,anInt3593,modelAmbientBias,,,,"Ambient bias used when building npc models"
