# Misc list/manager archive+cache fields outside config package.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
ParamTypeList,field,ParamTypeList,,,,aClass45_4085,configArchive,,,,"Archive containing ParamType definitions"
ParamTypeList,field,ParamTypeList,,,,aClass60_4087,typeCache,,,,"ParamType definition cache"
QuickChatCatTypeList,field,QuickChatCatTypeList,,,,aClass60_2960,typeCache,,,,"QuickChatCatType definition cache"
QuickChatCatTypeList,field,QuickChatCatTypeList,,,,aClass45_2961,configArchive,,,,"Archive containing local quick chat category definitions"
QuickChatCatTypeList,field,QuickChatCatTypeList,,,,aClass45_2965,globalConfigArchive,,,,"Archive containing global quick chat category definitions"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,aClass60_4362,typeCache,,,,"QuickChatPhraseType definition cache"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,aClass45_4368,configArchive,,,,"Archive containing local quick chat phrase definitions"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,aClass45_4369,globalConfigArchive,,,,"Archive containing global quick chat phrase definitions"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,anInterface15_4373,varFormatter,,,,"Formatter used for script-var backed quickchat placeholders"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,anInt4365,localTypeCount,,,,"Number of local quick chat phrase entries"
QuickChatPhraseTypeList,field,QuickChatPhraseTypeList,,,,anInt4364,globalTypeCount,,,,"Number of global quick chat phrase entries"
BillboardTypeList,field,BillboardTypeList,,,,aClass45_4785,archive,,,,"Archive used by load-progress checks"
BillboardTypeList,field,BillboardTypeList,,,,aString4778,archiveGroupName,,,,"Archive group name for readiness checks"
