# SeqType config fields decoded from sequence opcodes.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SeqType,field,SeqType,,,,anInt238,frameStep,,,,"Loop/step count used when wrapping animation frames"
SeqType,field,SeqType,,,,anInt239,forcedPriority,,,,"Forced priority from opcode 5"
SeqType,field,SeqType,,,,anInt249,leftHandItem,,,,"Left-hand item model override"
SeqType,field,SeqType,,,,anInt261,rightHandItem,,,,"Right-hand item model override"
SeqType,field,SeqType,,,,anInt244,maxLoops,,,,"Maximum loops for this sequence"
SeqType,field,SeqType,,,,anInt262,precedenceAnimating,,,,"Animation precedence"
SeqType,field,SeqType,,,,anInt245,priority,,,,"Sequence priority"
SeqType,field,SeqType,,,,anInt248,restartMode,,,,"Behavior when reapplying the same sequence (0/1/2)"
SeqType,field,SeqType,,,,anIntArrayArray264,frameSoundEffects,,,,"Per-frame sound effect lists (primary + alternates)"
SeqType,field,SeqType,,,,anIntArray253,frameSoundVolumes,,,,"Per-frame sound volume/weight overrides"
SeqType,field,SeqType,,,,anIntArray236,frameSoundDelayMin,,,,"Per-frame minimum random delay for sound trigger"
SeqType,field,SeqType,,,,anIntArray265,frameSoundDelayMax,,,,"Per-frame maximum random delay for sound trigger"
