# Type method naming pass across config/ui/graphics types.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
BASType,method,BASType,,,,method1618,buildAttachmentMatrices,,,"Build per-slot transform matrices for toolkit"
BASType,method,BASType,,,,method1619,clearStaticState,,,"Clear static BASType state"
BASType,method,BASType,,,,method1620,decode,,,"Decode bas type from buffer opcodes"
BASType,method,BASType,,,,method1621,getRandomAnimationId,,,"Pick random animation id from weighted list"
BASType,method,BASType,,,,method1622,decodeOpcode,,,"Decode single bas type opcode"
BASType,method,BASType,,,,method1623,hasAnimationId,,,"Check whether animation id is present in this bas type"
CursorType,method,CursorType,,,,method1608,decodeOpcode,,,"Decode single cursor type opcode"
CursorType,method,CursorType,,,,method1609,clearStaticState,,,"Clear static CursorType state"
CursorType,method,CursorType,,,,method1610,getSprite,,,"Get cursor sprite from cache/archive"
CursorType,method,CursorType,,,,method1611,decode,,,"Decode cursor type from buffer opcodes"
FloorOverlayType,method,FloorOverlayType,,,,method2067,postDecode,,,"Post-decode finalization for floor overlay type"
FloorOverlayType,method,FloorOverlayType,,,,method2069,decodeOpcode,,,"Decode single floor overlay opcode"
FloorOverlayType,method,FloorOverlayType,,,,method2070,decode,,,"Decode floor overlay type from buffer opcodes"
FloorOverlayType,method,FloorOverlayType,,,,method2071,clearStaticState,,,"Clear static FloorOverlayType state"
SkyBoxType,method,SkyBoxType,,,,method2273,allocatePacketBufferNode,,,"Allocate/reuse packet buffer node"
SkyBoxType,method,SkyBoxType,,,,method2274,findStringIndexIgnoreCase,,,"Find string index ignoring case"
SkyBoxType,method,SkyBoxType,,,,method2275,decode,,,"Decode skybox type from buffer opcodes"
SkyBoxType,method,SkyBoxType,,,,method2276,decodeOpcode,,,"Decode single skybox type opcode"
SkyBoxType,method,SkyBoxType,,,,method2277,loadModelData,,,"Load model data from archive"
BillboardType,method,BillboardType,,,,method1418,decodeOpcode,,,"Decode single billboard type opcode"
BillboardType,method,BillboardType,,,,method1419,decode,,,"Decode billboard type from buffer opcodes"
ParticleEffectorType,method,ParticleEffectorType,,,,method1332,isValidIntegerString,,,"Validate integer text with radix/sign handling"
ParticleEffectorType,method,ParticleEffectorType,,,,method1333,sortParallelStringsAndShorts,,,"Sort paired string/short arrays"
ParticleEffectorType,method,ParticleEffectorType,,,,method1334,clearStaticState,,,"Clear static ParticleEffectorType state"
ParticleEffectorType,method,ParticleEffectorType,,,,method1335,decodeOpcode,,,"Decode single particle effector opcode"
ParticleEffectorType,method,ParticleEffectorType,,,,method1336,decode,,,"Decode particle effector type from buffer opcodes"
ParticleEffectorType,method,ParticleEffectorType,,,,method1337,postDecode,,,"Finalize derived particle effector values"
ParticleEmitterType,method,ParticleEmitterType,,,,method1367,computeUvFromTransform,,,"Compute UV coordinates from transformed vertex deltas"
ParticleEmitterType,method,ParticleEmitterType,,,,method1368,decodeOpcode,,,"Decode single particle emitter opcode"
ParticleEmitterType,method,ParticleEmitterType,,,,method1369,clearStaticState,,,"Clear static ParticleEmitterType state"
ParticleEmitterType,method,ParticleEmitterType,,,,method1370,decode,,,"Decode particle emitter type from buffer opcodes"
ParticleEmitterType,method,ParticleEmitterType,,,,method1371,postDecode,,,"Finalize derived particle emitter values"
