# JagBuffer method naming pass (high-confidence codec/backpatch ops).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
JagBuffer,method,JagBuffer,,,,method3338,writeIntLengthAtOffset,,,,"Backpatch 4-byte length field"
JagBuffer,method,JagBuffer,,,,method3339,writeByteLengthAtOffset,,,,"Backpatch 1-byte length field"
JagBuffer,method,JagBuffer,,,,method3383,writeShortLengthAtOffset,,,,"Backpatch 2-byte length field"
JagBuffer,method,JagBuffer,,,,method3340,writeMedium,,,,"Write 3-byte big-endian integer"
JagBuffer,method,JagBuffer,,,,method3363,readMediumLittle,,,,"Read 3-byte little-endian integer"
JagBuffer,method,JagBuffer,,,,method3369,readMediumSigned,,,,"Read signed 24-bit integer"
JagBuffer,method,JagBuffer,,,,method3386,writeVersionedString,,,,"Write gjstr2-style versioned string"
JagBuffer,method,JagBuffer,,,,method3371,readVersionedString,,,,"Read gjstr2-style versioned string"
JagBuffer,method,JagBuffer,,,,method3384,readNullableString,,,,"Read null-or-string sentinel encoding"
JagBuffer,method,JagBuffer,,,,method3366,readVarInt,,,,"Read variable-length int (7-bit chunks)"
JagBuffer,method,JagBuffer,,,,method3396,writeVarInt,,,,"Write variable-length int (7-bit chunks)"
JagBuffer,method,JagBuffer,,,,method3381,writeSmart,,,,"Write unsigned smart"
JagBuffer,method,JagBuffer,,,,method3362,readSmartSigned,,,,"Read signed smart value"
JagBuffer,method,JagBuffer,,,,method3350,xteaEncryptRange,,,,"XTEA encrypt range in-place"
JagBuffer,method,JagBuffer,,,,method3367,xteaDecryptRange,,,,"XTEA decrypt range in-place"
