# Keep-alive, world-list, and socket helper methods.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
SocketConnection,method,SocketConnection,,,,method1708,updateAmbientSoundAtPosition,,,"Update ambient sound playback for listener position"
ClientConnectionKeepAlive,method,ClientConnectionKeepAlive,,,,method2191,clearStaticState,,,"Clear static keep-alive state"
ClientConnectionKeepAlive,method,ClientConnectionKeepAlive,,,,method2192,updateSpecialAreaFlag,,,"Update special-area flag from local player tile"
ClientConnectionKeepAlive,method,ClientConnectionKeepAlive,,,,method2193,processKeepAlive,,,"Send periodic keep-alive packet and flush"
ClientConnectionKeepAlive,method,ClientConnectionKeepAlive,,,,method2194,getChatChannelDisplayWidth,,,"Measure rendered chat channel label width"
WorldListEntry,method,WorldListEntry,,,,method1038,getRendererUpdateTracker,,,"Get renderer update tracker for this world entry"
WorldListEntry,method,WorldListEntry,,,,method1041,interpolateActorPosition,,,"Interpolate actor position between movement timestamps"
WorldListEntry,method,WorldListEntry,,,,method1042,resetSceneSelectionCounters,,,"Reset scene-selection and cursor counters"
WorldListEntryBase,method,WorldListEntryBase,,,,decodeReflectionCheck,decodeReflectionCheckPacket,,,"Decode reflection-check packet into pending checks"
WorldListEntryBase,method,WorldListEntryBase,,,,createCanvasSurface,createBestCanvasSurface,,,"Create best canvas surface implementation"
WorldListEntryBase,method,WorldListEntryBase,,,,countClientPreferenceFields,countSerializedPreferenceFields,,,"Count serializable ClientPreference fields"
