# Packet buffer/packet-node utility methods and static helpers.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
InboundPacketBuffer,method,InboundPacketBuffer,,,,method2253,bitLength,,,"Return bit-length/position helper for integer values"
InboundPacketBuffer,method,InboundPacketBuffer,,,,method2254,clearStaticState,,,"Clear static inbound-packet buffer state"
InboundPacketBuffer,method,InboundPacketBuffer,,,,method2255,drawRing,,,"Rasterize a ring with border/fill colors"
PacketBuffer,method,PacketBuffer,,,,method3413,generatePerlinNoiseGrid,,,"Generate perlin-noise grid values"
PacketBuffer,method,PacketBuffer,,,,method3414,clearStaticState,,,"Clear static packet-buffer tables"
PacketBufferNode,method,PacketBufferNode,,,,method3323,clearStaticState,,,"Clear static packet-buffer-node state"
PacketBufferNode,method,PacketBufferNode,,,,method3324,updateParticleSystems,,,"Tick/render active particle systems"
PacketBufferNode,method,PacketBufferNode,,,,method3325,isTileRenderFlagSet,,,"Composite tile render/visibility flag test"
PacketBufferNode,method,PacketBufferNode,,,,method3326,release,,,"Release packet node back to object pool"
PacketBufferNode,method,PacketBufferNode,,,,method3327,reconfigureToolkitCanvas,,,"Reconfigure toolkit bindings to current canvas"
