# Loading layout/fill operations and static helpers.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
LoadingScreenLayout,method,LoadingScreenLayout,,,,method51,getAmbientSoundManager,,,"Get ambient sound manager for layout"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method51,getAmbientSoundManager,,,"Get ambient sound manager for solid-fill layout"
LoadingScreenFillBarLayout,method,LoadingScreenFillBarLayout,,,,method51,getAmbientSoundManager,,,"Get ambient sound manager for fill-bar layout"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method490,decodeClientCookieUtil,,,"Decode client cookie/config utility"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method491,clearVisibilityGrid,,,"Clear scene visibility grid bytes"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method492,clearStaticState,,,"Clear static solid-fill layout state"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method493,advanceLoadingState,,,"Advance global loading state machine"
LoadingScreenSolidFillLayout,method,LoadingScreenSolidFillLayout,,,,method494,getOrientationMask,,,"Extract orientation mask bits"
LoadingScreenFillBarLayout,method,LoadingScreenFillBarLayout,,,,method3571,openArchive,,,"Open JS5 archive with optional remote sync"
LoadingScreenFillBarLayout,method,LoadingScreenFillBarLayout,,,,method3572,clearStaticState,,,"Clear static fill-bar layout state"
LoadingScreenSolidFillOp,method,LoadingScreenSolidFillOp,,,,method1352,playMusicTrack,,,"Start/adjust music track playback"
LoadingScreenSolidFillOp,method,LoadingScreenSolidFillOp,,,,method1353,findSceneEntityAt,,,"Find scene entity of type at tile"
LoadingScreenSolidFillOp,method,LoadingScreenSolidFillOp,,,,method1354,clearStaticState,,,"Clear static solid-fill op state"
LoadingScreenFillBarOp,method,LoadingScreenFillBarOp,,,,method193,clearStaticState,,,"Clear static fill-bar op state"
LoadingScreenFillBarOp,method,LoadingScreenFillBarOp,,,,method194,generateVolumeNoise,,,"Generate volume noise byte data"
LoadingScreenFillBarOp,method,LoadingScreenFillBarOp,,,,method195,isObjectModelTypeReady,,,"Check object model readiness for type"
LoadingScreenFillBarOp,method,LoadingScreenFillBarOp,,,,method196,drawHorizontalLineClipped,,,"Draw clipped horizontal line"
LoadingScreenFillBarOp,method,LoadingScreenFillBarOp,,,,method198,setActiveWidgetDragSource,,,"Set active widget drag source state"
