# Loading screen op/layout instance fields (high confidence).
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
LoadingScreenOp,field,LoadingScreenOp,,,,anInt4630,lastStageProgress,,,"Cached stage progress used for interpolation"
LoadingScreenOp,field,LoadingScreenOp,,,,aClass45_4631,fontArchive,,,"Archive used to load font metrics"
LoadingScreenOp,field,LoadingScreenOp,,,,aClass45_4632,fontSpriteArchive,,,"Archive used to load indexed font sprites"
LoadingScreenOp,field,LoadingScreenOp,,,,aClass369_4635,layout,,,"UI layout descriptor for this loading op"
LoadingScreenOp,field,LoadingScreenOp,,,,aClass60_4636,spriteBarLayoutCache,,,"Shared decoded sprite-bar layout cache"
LoadingScreenOp,field,LoadingScreenOp,,,,aClass324_4637,fontRenderer,,,"Font renderer used by the op"
LoadingScreenOp,field,LoadingScreenOp,,,,aLong4640,stageProgressTimestamp,,,"Timestamp of last stage-progress update"
LoadingScreenTextOp,field,LoadingScreenTextOp,,,,aClass158_4646,textLayout,,,"Text layout configuration"
LoadingScreenTextOp,field,LoadingScreenTextOp,,,,aClass324_4649,fontRenderer,,,"Renderer used for loading text draw"
LoadingScreenTextOp,field,LoadingScreenTextOp,,,,aClass45_4650,fontSpriteArchive,,,"Archive for font glyph sprites"
LoadingScreenTextOp,field,LoadingScreenTextOp,,,,aClass45_4651,fontMetricsArchive,,,"Archive for font metrics definitions"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,anInt8585,borderColor,,,"Frame/border color for filled loading bar"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,anInt8591,fillColor,,,"Fill color for loading progress interior"
LoadingScreenScrollingBarLayout,field,LoadingScreenScrollingBarLayout,,,,anInt10177,scrollSpeed,,,"Texture scroll speed for animated bar fill"
LoadingScreenTextLayout,field,LoadingScreenTextLayout,,,,anInt4944,fontId,,,"Font id used by loading text op"
