# Loading renderer/runtime + fill-bar/solid-fill static fields.
file,kind,owner,member,signature,param_index,old,new,detail_regex,line,col,notes
LoadingScreenRenderer,field,LoadingScreenRenderer,,,,anInterface16_3907,activeLoadingScreen,,,"Currently active loading screen implementation"
LoadingScreenRenderer,field,LoadingScreenRenderer,,,,anInterface16_3919,previousLoadingScreen,,,"Previous loading screen used for transition blending"
LoadingScreenRenderer,field,LoadingScreenRenderer,,,,aClass46_3913,activeWidget,,,"Widget reference used by loading renderer hooks"
LoadingScreenImpl,field,LoadingScreenImpl,,,,aHa5010,toolkit,,,"Toolkit active when elements were initialized"
LoadingScreenImpl,field,LoadingScreenImpl,,,,anInterface1Array5012,elements,,,"Resolved loading-screen elements"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,aClass46ArrayArray8584,cachedWidgetGroups,,,"Cached widget groups used by loading bar layout"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,aClass45_8589,archive,,,"Archive reference used by loading bar layout"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,aClass114_8590,serverPacket58,,,"Packet constant associated with loading bar layout"
LoadingScreenFillBarLayout,field,LoadingScreenFillBarLayout,,,,anObject8592,archiveLoadLock,,,"Lock object used for archive operations"
LoadingScreenFillBarOp,field,LoadingScreenFillBarOp,,,,aClass273_8356,loadingScriptTrigger,,,"Client script trigger associated with loading bar op"
LoadingScreenFillBarOp,field,LoadingScreenFillBarOp,,,,aBooleanArrayArrayArray8361,tileVisibilityGrid,,,"Tile visibility grid backing array"
LoadingScreenFillBarOp,field,LoadingScreenFillBarOp,,,,aClass114_8365,serverPacket30,,,"Packet constant associated with loading bar op"
LoadingScreenSolidFillLayout,field,LoadingScreenSolidFillLayout,,,,aBigInteger4896,rsaExponent,,,"RSA public exponent constant used by loading/client bootstrap"
LoadingScreenSolidFillLayout,field,LoadingScreenSolidFillLayout,,,,aFrame4904,loadingFrame,,,"Current AWT loading frame"
LoadingScreenSolidFillLayout,field,LoadingScreenSolidFillLayout,,,,aClass351_4905,clientPacket44,,,"Packet constant used by loading solid-fill layout"
LoadingScreenSolidFillLayout,field,LoadingScreenSolidFillLayout,,,,aClass351_4907,clientPacket48,,,"Packet constant used by loading solid-fill layout"
LoadingScreenSolidFillLayout,field,LoadingScreenSolidFillLayout,,,,anIntArray4906,scratchValues,,,"Scratch values array used by loading solid-fill layout"
